,coords,page_no,token,type
0,"[2142, 398, 2192, 417]",1,PRIX,word
1,"[2203, 398, 2244, 417]",1,DES,word
2,"[2257, 398, 2372, 417]",1,ANNONCES,word
3,"[2064, 420, 2107, 439]",1,Pour,word
4,"[2115, 420, 2130, 439]",1,la,word
5,"[2137, 420, 2201, 439]",1,Suisse,word
6,"[2201, 420, 2208, 439]",1,.,word
7,"[2208, 420, 2213, 439]",1,.,word
8,"[2215, 420, 2220, 439]",1,.,word
9,"[2243, 420, 2264, 439]",1,35,word
10,"[2269, 420, 2346, 439]",1,centimes,word
11,"[2361, 420, 2371, 439]",1,1,word
12,"[2379, 420, 2426, 439]",1,taBgn,word
13,"[2426, 420, 2436, 439]",1,*,word
14,"[2436, 420, 2442, 439]",1,i,word
15,"[2064, 442, 2107, 461]",1,Pour,word
16,"[2118, 442, 2125, 461]",1,l,word
17,"[2125, 442, 2130, 461]",1,',word
18,"[2130, 442, 2206, 461]",1,étranger,word
19,"[2206, 442, 2211, 461]",1,.,word
20,"[2213, 442, 2218, 461]",1,.,word
21,"[2242, 442, 2262, 461]",1,80,word
22,"[2268, 442, 2346, 461]",1,centimes,word
23,"[2359, 442, 2363, 461]",1,|,word
24,"[2370, 449, 2394, 462]",1,Bon,word
25,"[2404, 442, 2417, 461]",1,™,word
26,"[2064, 467, 2151, 482]",1,RÉCLAMES,word
27,"[2252, 464, 2262, 483]",1,1,word
28,"[2268, 464, 2312, 483]",1,franc,word
29,"[2359, 464, 2366, 483]",1,),word
30,"[2376, 464, 2383, 483]",1,(,word
31,"[2382, 464, 2423, 483]",1,corps,word
32,"[2431, 464, 2438, 483]",1,7,word
33,"[2437, 464, 2441, 483]",1,),word
34,"[2441, 464, 2444, 483]",1,.,word
35,"[2065, 503, 2110, 522]",1,Toute,word
36,"[2115, 503, 2157, 522]",1,lettre,word
37,"[2163, 503, 2177, 522]",1,et,word
38,"[2183, 503, 2214, 522]",1,tout,word
39,"[2220, 503, 2263, 522]",1,envoi,word
40,"[2267, 503, 2325, 522]",1,doivent,word
41,"[2330, 503, 2361, 522]",1,être,word
42,"[2372, 503, 2444, 522]",1,affranchi,word
43,"[2444, 503, 2449, 522]",1,.,word
0,"[2002, 378, 2470, 540]",1,,region
