,coords,page_no,token,type
0,"[469, 2560, 542, 2580]",4,Bourse,word
1,"[551, 2560, 573, 2580]",4,de,word
2,"[582, 2560, 684, 2580]",4,Lausanne,word
3,"[699, 2560, 723, 2580]",4,du,word
4,"[731, 2560, 744, 2580]",4,3,word
5,"[748, 2560, 784, 2580]",4,janv,word
6,"[784, 2560, 789, 2580]",4,.,word
7,"[699, 2586, 752, 2601]",4,Demand,word
8,"[766, 2586, 796, 2601]",4,Offre,word
9,"[437, 2603, 445, 2620]",4,3,word
10,"[453, 2603, 463, 2620]",4,o,word
11,"[463, 2603, 468, 2620]",4,/,word
12,"[469, 2603, 477, 2620]",4,0,word
13,"[513, 2603, 573, 2620]",4,Vaudois,word
14,"[438, 2617, 446, 2634]",4,3,word
15,"[453, 2617, 462, 2634]",4,1,word
16,"[462, 2617, 467, 2634]",4,/,word
17,"[467, 2617, 475, 2634]",4,2,word
18,"[481, 2617, 491, 2634]",4,0,word
19,"[491, 2617, 496, 2634]",4,/,word
20,"[497, 2617, 506, 2634]",4,0,word
21,"[511, 2617, 583, 2634]",4,Lausanne,word
22,"[438, 2632, 446, 2649]",4,3,word
23,"[454, 2632, 463, 2649]",4,1,word
24,"[462, 2632, 467, 2649]",4,/,word
25,"[467, 2632, 476, 2649]",4,2,word
26,"[479, 2632, 488, 2649]",4,0,word
27,"[488, 2632, 492, 2649]",4,/,word
28,"[492, 2632, 500, 2649]",4,0,word
29,"[509, 2632, 555, 2649]",4,Caisse,word
30,"[561, 2632, 612, 2649]",4,hypoth,word
31,"[613, 2632, 617, 2649]",4,.,word
32,"[626, 2632, 692, 2649]",4,vaudoise,word
33,"[716, 2632, 734, 2649]",4,91,word
34,"[741, 2632, 759, 2649]",4,—,word
35,"[438, 2646, 447, 2663]",4,4,word
36,"[453, 2646, 463, 2663]",4,1,word
37,"[462, 2646, 468, 2663]",4,/,word
38,"[467, 2646, 477, 2663]",4,2,word
39,"[481, 2646, 490, 2663]",4,0,word
40,"[490, 2646, 495, 2663]",4,/,word
41,"[495, 2646, 504, 2663]",4,0,word
42,"[510, 2646, 541, 2663]",4,Jurà,word
43,"[541, 2646, 548, 2663]",4,-,word
44,"[548, 2646, 610, 2663]",4,Slmplon,word
45,"[631, 2646, 649, 2663]",4,.,word
46,"[649, 2646, 668, 2663]",4,.,word
47,"[668, 2646, 673, 2663]",4,.,word
48,"[686, 2646, 692, 2663]",4,.,word
49,"[708, 2646, 736, 2663]",4,476,word
50,"[741, 2646, 750, 2663]",4,-,word
51,"[766, 2646, 790, 2663]",4,478,word
52,"[793, 2646, 809, 2663]",4,—,word
53,"[438, 2660, 447, 2678]",4,4,word
54,"[453, 2660, 463, 2678]",4,0,word
55,"[463, 2660, 469, 2678]",4,/,word
56,"[468, 2660, 479, 2678]",4,0,word
57,"[487, 2660, 550, 2678]",4,Glion,word
58,"[550, 2660, 560, 2678]",4,-,word
59,"[560, 2660, 615, 2678]",4,Naye,word
60,"[615, 2660, 624, 2678]",4,.,word
61,"[624, 2660, 633, 2678]",4,.,word
62,"[633, 2660, 642, 2678]",4,.,word
63,"[642, 2660, 646, 2678]",4,.,word
64,"[651, 2660, 655, 2678]",4,.,word
65,"[438, 2675, 447, 2692]",4,4,word
66,"[453, 2675, 463, 2692]",4,0,word
67,"[463, 2675, 469, 2692]",4,/,word
68,"[469, 2675, 479, 2692]",4,0,word
69,"[507, 2675, 548, 2692]",4,viège,word
70,"[548, 2675, 554, 2692]",4,-,word
71,"[554, 2675, 614, 2692]",4,Zermatt,word
72,"[631, 2675, 637, 2692]",4,.,word
73,"[649, 2675, 656, 2692]",4,.,word
74,"[438, 2689, 447, 2706]",4,4,word
75,"[453, 2689, 463, 2706]",4,0,word
