,coords,page_no,token,type
0,"[2184, 148, 2353, 175]",1,ANNONCES,word
1,"[2194, 184, 2250, 205]",1,Agence,word
2,"[2256, 184, 2276, 205]",1,de,word
3,"[2283, 184, 2343, 205]",1,publicit,word
4,"[2342, 184, 2351, 205]",1,é,word
5,"[2117, 218, 2282, 239]",1,HAASENSTEIN,word
6,"[2300, 218, 2315, 239]",1,&,word
7,"[2330, 218, 2422, 239]",1,VOGLEP,word
8,"[2210, 243, 2337, 262]",1,LAUSANNE,word
9,"[2155, 266, 2228, 285]",1,Montreux,word
10,"[2227, 266, 2232, 285]",1,",",word
11,"[2239, 266, 2296, 285]",1,Genève,word
12,"[2295, 266, 2300, 285]",1,",",word
13,"[2307, 266, 2381, 285]",1,Neuchâtel,word
14,"[2381, 266, 2386, 285]",1,",",word
15,"[2130, 284, 2179, 303]",1,Chaux,word
16,"[2179, 284, 2185, 303]",1,-,word
17,"[2184, 284, 2202, 303]",1,de,word
18,"[2202, 284, 2208, 303]",1,-,word
19,"[2208, 284, 2253, 303]",1,Fonds,word
20,"[2253, 284, 2258, 303]",1,",",word
21,"[2266, 284, 2335, 303]",1,FWbonrg,word
22,"[2334, 284, 2339, 303]",1,",",word
23,"[2346, 284, 2362, 303]",1,St,word
24,"[2361, 284, 2368, 303]",1,-,word
25,"[2367, 284, 2402, 303]",1,Imie,word
26,"[2402, 284, 2411, 303]",1,^,word
27,"[2184, 301, 2256, 320]",1,Deiemont,word
28,"[2255, 301, 2260, 320]",1,",",word
29,"[2269, 301, 2352, 320]",1,Porrontruy,word
30,"[2351, 301, 2356, 320]",1,",",word
31,"[2109, 318, 2142, 337]",1,Slon,word
32,"[2141, 318, 2146, 337]",1,",",word
33,"[2150, 318, 2185, 337]",1,Bâle,word
34,"[2184, 318, 2189, 337]",1,",",word
35,"[2193, 318, 2239, 337]",1,Berne,word
36,"[2239, 318, 2244, 337]",1,",",word
37,"[2247, 318, 2297, 337]",1,Zurich,word
38,"[2296, 318, 2301, 337]",1,",",word
39,"[2306, 318, 2323, 337]",1,Bt,word
40,"[2322, 318, 2329, 337]",1,-,word
41,"[2328, 318, 2358, 337]",1,Galt,word
42,"[2357, 318, 2362, 337]",1,",",word
43,"[2368, 318, 2420, 337]",1,Lncern,word
44,"[2419, 318, 2429, 337]",1,*,word
45,"[2216, 335, 2274, 354]",1,Lugano,word
46,"[2273, 335, 2278, 354]",1,",",word
47,"[2284, 335, 2325, 354]",1,Coire,word
48,"[2168, 352, 2182, 371]",1,et,word
49,"[2189, 352, 2255, 371]",1,guccursa,word
50,"[2255, 352, 2260, 371]",1,.,word
51,"[2259, 352, 2275, 371]",1,es,word
52,"[2282, 352, 2291, 371]",1,à,word
53,"[2298, 352, 2304, 371]",1,l,word
54,"[2303, 352, 2307, 371]",1,',word
55,"[2307, 352, 2363, 371]",1,étrange,word
56,"[2363, 352, 2369, 371]",1,r,word
0,"[2082, 124, 2470, 378]",1,,region
