,coords,page_no,token,type
0,"[1672, 296, 1819, 331]",3,CANTON,word
1,"[1840, 296, 1894, 331]",3,DE,word
2,"[1911, 296, 2016, 331]",3,VAUD,word
3,"[1678, 352, 1734, 371]",3,Banque,word
4,"[1740, 352, 1814, 371]",3,cantonale,word
5,"[1814, 352, 1819, 371]",3,.,word
6,"[1830, 352, 1851, 371]",3,—,word
7,"[1863, 352, 1884, 371]",3,Le,word
8,"[1888, 352, 1940, 371]",3,conseil,word
9,"[1948, 352, 1958, 371]",3,d,word
10,"[1958, 352, 1962, 371]",3,',word
11,"[1962, 352, 2024, 371]",3,adminis,word
12,"[2024, 352, 2030, 371]",3,-,word
13,"[1658, 371, 1709, 390]",3,tration,word
14,"[1719, 371, 1728, 390]",3,a,word
15,"[1740, 371, 1755, 390]",3,ét,word
16,"[1754, 371, 1764, 390]",3,é,word
17,"[1769, 371, 1818, 390]",3,nomm,word
18,"[1817, 371, 1826, 390]",3,é,word
19,"[1838, 371, 1869, 390]",3,hier,word
20,"[1878, 371, 1884, 390]",3,:,word
21,"[1896, 371, 1917, 390]",3,—,word
22,"[1928, 371, 1947, 390]",3,M,word
23,"[1945, 371, 1951, 390]",3,.,word
24,"[1955, 371, 2025, 390]",3,Gonthier,word
25,"[2025, 371, 2029, 390]",3,",",word
26,"[1657, 390, 1738, 409]",3,contrôleur,word
27,"[1738, 390, 1743, 409]",3,",",word
28,"[1763, 390, 1782, 409]",3,en,word
29,"[1793, 390, 1901, 409]",3,remplacement,word
30,"[1915, 390, 1935, 409]",3,de,word
31,"[1946, 390, 1965, 409]",3,M,word
32,"[1964, 390, 1969, 409]",3,.,word
33,"[1974, 390, 2024, 409]",3,Perrin,word
34,"[2024, 390, 2029, 409]",3,",",word
35,"[1657, 408, 1706, 427]",3,nomm,word
36,"[1705, 408, 1714, 427]",3,é,word
37,"[1721, 408, 1783, 427]",3,membre,word
38,"[1788, 408, 1809, 427]",3,du,word
39,"[1815, 408, 1867, 427]",3,conseil,word
40,"[1877, 408, 1886, 427]",3,d,word
41,"[1886, 408, 1890, 427]",3,',word
42,"[1890, 408, 2004, 427]",3,administration,word
43,"[2004, 408, 2009, 427]",3,.,word
44,"[2009, 408, 2029, 427]",3,—,word
45,"[1657, 427, 1675, 446]",3,M,word
46,"[1673, 427, 1678, 446]",3,.,word
47,"[1683, 427, 1749, 446]",3,Maillard,word
48,"[1749, 427, 1754, 446]",3,",",word
49,"[1764, 427, 1823, 446]",3,caissier,word
50,"[1823, 427, 1828, 446]",3,",",word
51,"[1841, 427, 1860, 446]",3,en,word
52,"[1870, 427, 1978, 446]",3,remplacement,word
53,"[1985, 427, 2005, 446]",3,de,word
54,"[2012, 427, 2031, 446]",3,M,word
55,"[1657, 446, 1726, 465]",3,Gonthier,word
56,"[1725, 446, 1730, 465]",3,.,word
57,"[1742, 446, 1764, 465]",3,—,word
58,"[1773, 446, 1792, 465]",3,M,word
59,"[1790, 446, 1795, 465]",3,.,word
60,"[1799, 446, 1843, 465]",3,Mogg,word
61,"[1842, 446, 1847, 465]",3,",",word
62,"[1856, 446, 1887, 465]",3,chef,word
63,"[1895, 446, 1913, 465]",3,de,word
64,"[1919, 446, 1973, 465]",3,service,word
65,"[1980, 446, 2007, 465]",3,des,word
66,"[2015, 446, 2027, 465]",3,ti,word
67,"[1657, 464, 1686, 483]",3,tres,word
68,"[1687, 464, 1692, 483]",3,",",word
69,"[1700, 464, 1719, 483]",3,en,word
70,"[1725, 464, 1833, 483]",3,remplacement,word
71,"[1844, 464, 1863, 483]",3,de,word
72,"[1867, 464, 1884, 483]",3,M,word
73,"[1883, 464, 1888, 483]",3,.,word
74,"[1894, 464, 1959, 483]",3,Maillard,word
