,coords,page_no,token,type
0,"[2138, 391, 2189, 410]",1,PRIX,word
1,"[2199, 391, 2245, 410]",1,DES,word
2,"[2253, 391, 2369, 410]",1,ANNONCES,word
3,"[2061, 416, 2105, 435]",1,Pour,word
4,"[2112, 416, 2128, 435]",1,la,word
5,"[2134, 416, 2197, 435]",1,Suisse,word
6,"[2197, 416, 2204, 435]",1,.,word
7,"[2204, 416, 2209, 435]",1,.,word
8,"[2211, 416, 2216, 435]",1,.,word
9,"[2239, 416, 2261, 435]",1,25,word
10,"[2265, 416, 2342, 435]",1,centimes,word
11,"[2356, 416, 2363, 435]",1,j,word
12,"[2379, 416, 2433, 435]",1,langue,word
13,"[2061, 437, 2104, 456]",1,Pour,word
14,"[2114, 437, 2121, 456]",1,l,word
15,"[2121, 437, 2127, 456]",1,',word
16,"[2127, 437, 2205, 456]",1,étranger,word
17,"[2205, 437, 2210, 456]",1,.,word
18,"[2210, 437, 2215, 456]",1,.,word
19,"[2238, 437, 2260, 456]",1,80,word
20,"[2264, 437, 2343, 456]",1,centimes,word
21,"[2368, 437, 2379, 456]",1,„,word
22,"[2407, 437, 2418, 456]",1,«,word
23,"[2432, 437, 2445, 456]",1,^,word
24,"[2061, 459, 2148, 476]",1,RÉCLAMES,word
25,"[2248, 459, 2258, 476]",1,1,word
26,"[2265, 459, 2310, 476]",1,franc,word
27,"[2355, 459, 2362, 476]",1,],word
28,"[2373, 459, 2380, 476]",1,(,word
29,"[2379, 459, 2419, 476]",1,corps,word
30,"[2424, 459, 2434, 476]",1,7,word
31,"[2433, 459, 2439, 476]",1,),word
32,"[2438, 459, 2443, 476]",1,",",word
33,"[2061, 497, 2106, 516]",1,Toute,word
34,"[2112, 497, 2153, 516]",1,lettre,word
35,"[2159, 497, 2175, 516]",1,et,word
36,"[2179, 497, 2211, 516]",1,tout,word
37,"[2216, 497, 2261, 516]",1,envoi,word
38,"[2266, 497, 2325, 516]",1,doivent,word
39,"[2329, 497, 2360, 516]",1,être,word
40,"[2369, 497, 2453, 516]",1,affranchit,word
0,"[2032, 365, 2455, 534]",1,,region
