,coords,page_no,token,type
0,"[118, 574, 144, 595]",1,lie,word
1,"[155, 574, 327, 595]",1,commencement,word
2,"[343, 574, 373, 595]",1,dn,word
3,"[385, 574, 455, 595]",1,feuille,word
4,"[457, 574, 465, 595]",1,-,word
5,"[97, 602, 133, 623]",1,ton,word
6,"[152, 602, 197, 623]",1,sera,word
7,"[214, 602, 278, 623]",1,envoy,word
8,"[281, 602, 291, 623]",1,é,word
9,"[318, 602, 466, 623]",1,gratuitement,word
10,"[97, 630, 136, 650]",1,aux,word
11,"[152, 630, 260, 650]",1,nouveaux,word
12,"[280, 630, 371, 650]",1,abonnés,word
13,"[389, 630, 429, 650]",1,qui,word
14,"[440, 630, 467, 650]",1,en,word
15,"[98, 657, 165, 678]",1,feront,word
16,"[176, 657, 197, 678]",1,la,word
17,"[208, 657, 307, 678]",1,demande,word
18,"[310, 657, 315, 678]",1,.,word
0,"[80, 541, 478, 697]",1,,region
