,coords,page_no,token,type
0,"[512, 821, 637, 845]",3,CHRONIQUE,word
1,"[657, 821, 757, 845]",3,VITICOLE,word
2,"[471, 879, 557, 898]",3,Viticulteurs,word
3,"[564, 879, 645, 898]",3,lausannois,word
4,"[644, 879, 649, 898]",3,.,word
5,"[657, 879, 676, 898]",3,—,word
6,"[681, 879, 701, 898]",3,La,word
7,"[712, 879, 758, 898]",3,Sociét,word
8,"[758, 879, 767, 898]",3,é,word
9,"[777, 879, 795, 898]",3,de,word
10,"[801, 879, 816, 898]",3,vi,word
11,"[816, 879, 823, 898]",3,-,word
12,"[452, 897, 519, 916]",3,ticulture,word
13,"[530, 897, 620, 916]",3,lausannoise,word
14,"[631, 897, 640, 916]",3,a,word
15,"[650, 897, 695, 916]",3,délivr,word
16,"[695, 897, 703, 916]",3,é,word
17,"[715, 897, 741, 916]",3,des,word
18,"[752, 897, 783, 916]",3,prix,word
19,"[794, 897, 822, 916]",3,aux,word
20,"[452, 916, 528, 935]",3,vignerons,word
21,"[536, 916, 601, 935]",3,suivants,word
22,"[608, 916, 614, 935]",3,:,word
23,"[470, 936, 538, 955]",3,Division,word
24,"[548, 936, 566, 955]",3,de,word
25,"[576, 936, 618, 955]",3,Pully,word
26,"[618, 936, 623, 955]",3,.,word
27,"[640, 936, 674, 955]",3,Prix,word
28,"[681, 936, 716, 955]",3,pour,word
29,"[724, 936, 737, 955]",3,la,word
30,"[744, 936, 787, 955]",3,vigne,word
31,"[794, 936, 800, 955]",3,:,word
32,"[806, 936, 816, 955]",3,1,word
33,"[817, 936, 822, 955]",3,.,word
34,"[452, 954, 496, 973]",3,Blanc,word
35,"[495, 954, 500, 973]",3,",",word
36,"[508, 954, 576, 973]",3,François,word
37,"[576, 954, 581, 973]",3,.,word
38,"[588, 954, 598, 973]",3,2,word
39,"[598, 954, 603, 973]",3,.,word
40,"[611, 954, 678, 973]",3,Diserens,word
41,"[678, 954, 683, 973]",3,",",word
42,"[692, 954, 732, 973]",3,Jules,word
43,"[732, 954, 737, 973]",3,.,word
44,"[745, 954, 755, 973]",3,3,word
45,"[755, 954, 760, 973]",3,.,word
46,"[768, 954, 816, 973]",3,Lavan,word
47,"[815, 954, 822, 973]",3,-,word
48,"[451, 973, 479, 992]",3,chy,word
49,"[479, 973, 484, 992]",3,",",word
50,"[494, 973, 554, 992]",3,Charles,word
51,"[554, 973, 558, 992]",3,.,word
52,"[570, 973, 580, 992]",3,3,word
