,coords,page_no,token,type
0,"[133, 638, 216, 667]",2,LETTRE,word
1,"[230, 638, 266, 667]",2,DE,word
2,"[272, 638, 335, 667]",2,PARIS,word
3,"[254, 693, 297, 712]",2,Paris,word
4,"[298, 693, 303, 712]",2,",",word
5,"[312, 693, 321, 712]",2,3,word
6,"[330, 693, 387, 712]",2,janvier,word
7,"[388, 693, 393, 712]",2,.,word
8,"[160, 720, 191, 739]",2,Les,word
9,"[202, 720, 293, 739]",2,royalistes,word
10,"[294, 720, 299, 739]",2,.,word
11,"[67, 745, 121, 764]",2,Quand,word
12,"[127, 745, 152, 764]",2,ces,word
13,"[157, 745, 205, 764]",2,lignes,word
14,"[211, 745, 294, 764]",2,paraîtront,word
15,"[295, 745, 300, 764]",2,",",word
16,"[308, 745, 347, 764]",2,vous,word
17,"[354, 745, 408, 764]",2,connaî,word
18,"[408, 745, 415, 764]",2,-,word
19,"[46, 766, 75, 785]",2,trez,word
20,"[79, 766, 94, 785]",2,la,word
21,"[98, 766, 164, 785]",2,solution,word
22,"[169, 766, 244, 785]",2,définitive,word
23,"[250, 766, 270, 785]",2,du,word
24,"[276, 766, 329, 785]",2,procès,word
25,"[329, 766, 335, 785]",2,;,word
26,"[338, 766, 353, 785]",2,je,word
27,"[357, 766, 376, 785]",2,ne,word
28,"[381, 766, 416, 785]",2,puis,word
29,"[45, 787, 137, 806]",2,commenter,word
30,"[144, 787, 210, 806]",2,aujourd,word
31,"[210, 787, 214, 806]",2,',word
32,"[214, 787, 241, 806]",2,hui,word
33,"[251, 787, 281, 806]",2,que,word
34,"[289, 787, 311, 806]",2,les,word
35,"[316, 787, 380, 806]",2,verdicts,word
36,"[388, 787, 415, 806]",2,qui,word
37,"[45, 809, 134, 828]",2,concernent,word
38,"[143, 809, 165, 828]",2,les,word
39,"[170, 809, 232, 828]",2,accusés,word
40,"[238, 809, 317, 828]",2,royalistes,word
41,"[317, 809, 322, 828]",2,",",word
42,"[330, 809, 345, 828]",2,et,word
43,"[353, 809, 380, 828]",2,qui,word
44,"[389, 809, 415, 828]",2,ont,word
45,"[45, 830, 81, 849]",2,caus,word
46,"[82, 830, 90, 849]",2,é,word
47,"[103, 830, 121, 849]",2,ce,word
48,"[131, 830, 178, 849]",2,matin,word
49,"[192, 830, 221, 849]",2,une,word
50,"[234, 830, 300, 849]",2,certaine,word
51,"[313, 830, 383, 849]",2,surprise,word
52,"[384, 830, 389, 849]",2,",",word
53,"[406, 830, 415, 849]",2,à,word
54,"[45, 851, 79, 870]",2,tous,word
55,"[88, 851, 110, 870]",2,les,word
56,"[123, 851, 173, 870]",2,points,word
57,"[187, 851, 205, 870]",2,de,word
58,"[217, 851, 247, 870]",2,vue,word
59,"[248, 851, 253, 870]",2,.,word
60,"[269, 851, 308, 870]",2,Tout,word
61,"[321, 851, 332, 870]",2,d,word
62,"[332, 851, 336, 870]",2,',word
63,"[336, 851, 383, 870]",2,abord,word
64,"[395, 851, 414, 870]",2,on,word
65,"[45, 872, 53, 891]",2,s,word
66,"[53, 872, 57, 891]",2,',word
67,"[57, 872, 129, 891]",2,attendait,word
68,"[136, 872, 145, 891]",2,à,word
69,"[149, 872, 188, 891]",2,deux,word
70,"[194, 872, 319, 891]",2,condamnations,word
71,"[320, 872, 325, 891]",2,",",word
72,"[332, 872, 351, 891]",2,au,word
73,"[358, 872, 409, 891]",2,moins,word
74,"[409, 872, 414, 891]",2,.,word
75,"[45, 893, 68, 912]",2,On,word
76,"[76, 893, 106, 912]",2,étai,word
77,"[106, 893, 112, 912]",2,t,word
78,"[125, 893, 208, 912]",2,convaincu,word
79,"[223, 893, 253, 912]",2,que,word
80,"[266, 893, 280, 912]",2,la,word
81,"[290, 893, 339, 912]",2,Haute,word
82,"[347, 893, 387, 912]",2,Cour,word
83,"[396, 893, 415, 912]",2,ne,word
84,"[44, 914, 114, 933]",2,voudrait,word
85,"[129, 914, 156, 933]",2,pas,word
86,"[170, 914, 227, 933]",2,donner,word
87,"[241, 914, 262, 933]",2,un,word
88,"[275, 914, 341, 933]",2,prétexte,word
89,"[355, 914, 364, 933]",2,à,word
90,"[377, 914, 415, 933]",2,cette,word
91,"[44, 935, 140, 954]",2,plaisanterie,word
92,"[150, 935, 195, 954]",2,facile,word
93,"[195, 935, 200, 954]",2,",",word
94,"[215, 935, 224, 954]",2,à,word
95,"[237, 935, 285, 954]",2,savoir,word
96,"[295, 935, 325, 954]",2,que,word
97,"[334, 935, 352, 954]",2,M,word
98,"[351, 935, 356, 954]",2,.,word
99,"[364, 935, 406, 954]",2,Andr,word
100,"[407, 935, 415, 954]",2,é,word
101,"[45, 956, 92, 975]",2,Buffet,word
102,"[100, 956, 139, 975]",2,avait,word
103,"[145, 956, 211, 975]",2,complot,word
104,"[212, 956, 220, 975]",2,é,word
105,"[228, 956, 261, 975]",2,tout,word
106,"[268, 956, 302, 975]",2,seul,word
107,"[303, 956, 308, 975]",2,",",word
108,"[314, 956, 336, 975]",2,qu,word
109,"[336, 956, 340, 975]",2,',word
110,"[340, 956, 352, 975]",2,il,word
111,"[360, 956, 371, 975]",2,n,word
112,"[371, 956, 375, 975]",2,',word
113,"[375, 956, 415, 975]",2,avait,word
114,"[44, 978, 72, 997]",2,pas,word
115,"[80, 978, 99, 997]",2,de,word
116,"[105, 978, 188, 997]",2,complices,word
117,"[189, 978, 193, 997]",2,",",word
118,"[202, 978, 222, 997]",2,ou,word
119,"[230, 978, 263, 997]",2,tout,word
120,"[270, 978, 289, 997]",2,au,word
121,"[298, 978, 347, 997]",2,moins,word
122,"[355, 978, 385, 997]",2,que,word
123,"[392, 978, 415, 997]",2,ses,word
124,"[45, 999, 126, 1018]",2,complices,word
125,"[136, 999, 195, 1018]",2,avaient,word
126,"[204, 999, 262, 1018]",2,échapp,word
127,"[262, 999, 271, 1018]",2,é,word
128,"[285, 999, 293, 1018]",2,à,word
129,"[306, 999, 321, 1018]",2,la,word
130,"[330, 999, 415, 1018]",2,sollicitude,word
131,"[45, 1020, 65, 1039]",2,du,word
132,"[74, 1020, 191, 1039]",2,gouvernement,word
133,"[192, 1020, 197, 1039]",2,.,word
134,"[206, 1020, 229, 1039]",2,En,word
135,"[237, 1020, 281, 1039]",2,outre,word
136,"[282, 1020, 287, 1039]",2,",",word
137,"[297, 1020, 317, 1039]",2,on,word
138,"[324, 1020, 382, 1039]",2,pensait,word
139,"[390, 1020, 409, 1039]",2,gé,word
140,"[409, 1020, 415, 1039]",2,-,word
141,"[44, 1041, 137, 1060]",2,néralement,word
142,"[146, 1041, 177, 1060]",2,que,word
143,"[190, 1041, 204, 1060]",2,le,word
144,"[214, 1041, 269, 1060]",2,second,word
145,"[277, 1041, 353, 1060]",2,condamn,word
146,"[353, 1041, 362, 1060]",2,é,word
147,"[371, 1041, 415, 1060]",2,serait,word
148,"[44, 1062, 62, 1081]",2,M,word
149,"[61, 1062, 66, 1081]",2,.,word
150,"[79, 1062, 98, 1081]",2,de,word
151,"[110, 1062, 166, 1081]",2,Ramel,word
152,"[167, 1062, 173, 1081]",2,;,word
153,"[186, 1062, 197, 1081]",2,il,word
154,"[210, 1062, 249, 1081]",2,avait,word
155,"[262, 1062, 310, 1081]",2,perdu,word
156,"[325, 1062, 346, 1081]",2,du,word
157,"[361, 1062, 415, 1081]",2,terrain,word
158,"[45, 1083, 111, 1102]",2,pendant,word
159,"[126, 1083, 151, 1102]",2,ces,word
160,"[160, 1083, 227, 1102]",2,derniers,word
161,"[239, 1083, 282, 1102]",2,jours,word
162,"[283, 1083, 288, 1102]",2,.,word
163,"[305, 1083, 335, 1102]",2,Son,word
164,"[353, 1083, 416, 1102]",2,attitude,word
165,"[44, 1104, 94, 1123]",2,plutôt,word
166,"[103, 1104, 167, 1123]",2,humble,word
167,"[167, 1104, 172, 1123]",2,",",word
168,"[181, 1104, 198, 1123]",2,sa,word
169,"[205, 1104, 278, 1123]",2,tendance,word
170,"[285, 1104, 293, 1123]",2,à,word
171,"[301, 1104, 317, 1123]",2,se,word
172,"[326, 1104, 336, 1123]",2,«,word
173,"[344, 1104, 390, 1123]",2,terrer,word
174,"[400, 1104, 410, 1123]",2,»,word
175,"[410, 1104, 415, 1123]",2,",",word
176,"[45, 1125, 72, 1144]",2,son,word
177,"[86, 1125, 152, 1144]",2,manque,word
178,"[165, 1125, 184, 1144]",2,de,word
179,"[201, 1125, 269, 1144]",2,crânerie,word
180,"[269, 1125, 274, 1144]",2,",",word
181,"[289, 1125, 311, 1144]",2,les,word
182,"[328, 1125, 415, 1144]",2,démarches,word
183,"[44, 1146, 66, 1165]",2,qu,word
184,"[66, 1146, 70, 1165]",2,',word
185,"[70, 1146, 82, 1165]",2,il,word
186,"[92, 1146, 131, 1165]",2,avait,word
187,"[145, 1146, 171, 1165]",2,fait,word
188,"[185, 1146, 205, 1165]",2,ou,word
189,"[218, 1146, 254, 1165]",2,laiss,word
190,"[255, 1146, 263, 1165]",2,é,word
191,"[273, 1146, 310, 1165]",2,faire,word
192,"[311, 1146, 316, 1165]",2,",",word
193,"[326, 1146, 341, 1165]",2,et,word
194,"[348, 1146, 376, 1165]",2,son,word
195,"[384, 1146, 409, 1165]",2,évi,word
196,"[409, 1146, 415, 1165]",2,-,word
197,"[44, 1168, 88, 1187]",2,dente,word
198,"[101, 1168, 219, 1187]",2,préoccupation,word
199,"[234, 1168, 253, 1187]",2,de,word
200,"[265, 1168, 284, 1187]",2,ne,word
201,"[296, 1168, 323, 1187]",2,pas,word
202,"[331, 1168, 385, 1187]",2,perdre,word
203,"[393, 1168, 415, 1187]",2,les,word
204,"[44, 1189, 117, 1208]",2,bénéfices,word
205,"[132, 1189, 151, 1208]",2,de,word
206,"[164, 1189, 180, 1208]",2,sa,word
