,coords,page_no,token,type
0,"[76, 694, 222, 730]",3,CANTON,word
1,"[240, 694, 291, 730]",3,DE,word
2,"[309, 694, 414, 730]",3,VAUD,word
3,"[81, 751, 135, 770]",3,Conseil,word
4,"[141, 751, 151, 770]",3,d,word
5,"[151, 751, 155, 770]",3,',word
6,"[155, 751, 189, 770]",3,Etat,word
7,"[200, 751, 219, 770]",3,—,word
8,"[224, 751, 263, 770]",3,Dans,word
9,"[274, 751, 289, 770]",3,sa,word
10,"[301, 751, 351, 770]",3,séance,word
11,"[357, 751, 367, 770]",3,d,word
12,"[367, 751, 371, 770]",3,',word
13,"[371, 751, 402, 770]",3,hier,word
14,"[402, 751, 407, 770]",3,",",word
15,"[415, 751, 429, 770]",3,le,word
16,"[63, 771, 116, 790]",3,Conseil,word
17,"[122, 771, 132, 790]",3,d,word
18,"[132, 771, 136, 790]",3,',word
19,"[135, 771, 167, 790]",3,Etat,word
20,"[174, 771, 182, 790]",3,s,word
21,"[182, 771, 186, 790]",3,',word
22,"[185, 771, 208, 790]",3,est,word
23,"[216, 771, 276, 790]",3,constitu,word
24,"[276, 771, 284, 790]",3,é,word
25,"[296, 771, 350, 790]",3,comme,word
26,"[357, 771, 385, 790]",3,suit,word
27,"[393, 771, 428, 790]",3,pour,word
28,"[63, 790, 68, 809]",3,l,word
29,"[68, 790, 71, 809]",3,',word
30,"[71, 790, 114, 809]",3,année,word
31,"[121, 790, 158, 809]",3,1900,word
32,"[164, 790, 169, 809]",3,:,word
33,"[80, 809, 150, 828]",3,Président,word
34,"[158, 809, 164, 828]",3,:,word
35,"[174, 809, 192, 828]",3,M,word
36,"[190, 809, 195, 828]",3,.,word
37,"[203, 809, 255, 828]",3,Jordan,word
38,"[254, 809, 261, 828]",3,-,word
39,"[261, 809, 313, 828]",3,Martin,word
40,"[313, 809, 318, 828]",3,.,word
41,"[329, 809, 349, 828]",3,—,word
42,"[354, 809, 391, 828]",3,Vice,word
43,"[391, 809, 397, 828]",3,-,word
44,"[397, 809, 422, 828]",3,pré,word
45,"[421, 809, 428, 828]",3,-,word
46,"[62, 828, 74, 847]",3,>,word
47,"[73, 828, 110, 847]",3,ident,word
48,"[110, 828, 115, 847]",3,:,word
49,"[124, 828, 141, 847]",3,M,word
50,"[140, 828, 145, 847]",3,.,word
51,"[150, 828, 202, 847]",3,Lucien,word
52,"[215, 828, 286, 847]",3,Décoppet,word
53,"[285, 828, 290, 847]",3,.,word
54,"[297, 828, 316, 847]",3,—,word
55,"[329, 828, 427, 847]",3,Département,word
56,"[62, 846, 77, 865]",3,de,word
57,"[82, 846, 131, 865]",3,justice,word
58,"[138, 846, 152, 865]",3,et,word
59,"[159, 846, 207, 865]",3,police,word
60,"[207, 846, 213, 865]",3,:,word
61,"[219, 846, 252, 865]",3,chef,word
62,"[250, 846, 256, 865]",3,",",word
63,"[262, 846, 279, 865]",3,M,word
64,"[278, 846, 283, 865]",3,.,word
65,"[289, 846, 338, 865]",3,Cossy,word
66,"[338, 846, 343, 865]",3,;,word
67,"[352, 846, 427, 865]",3,suppléant,word
68,"[62, 865, 80, 884]",3,M,word
