,coords,page_no,token,type
0,"[500, 2606, 575, 2628]",4,Bourse,word
1,"[582, 2606, 594, 2628]",4,d,word
2,"[594, 2606, 606, 2628]",4,«,word
3,"[614, 2606, 717, 2628]",4,Lausanne,word
4,"[732, 2606, 753, 2628]",4,du,word
5,"[764, 2606, 776, 2628]",4,4,word
6,"[780, 2606, 818, 2628]",4,janv,word
7,"[817, 2606, 822, 2628]",4,.,word
8,"[468, 2649, 476, 2666]",4,3,word
9,"[484, 2649, 493, 2666]",4,o,word
10,"[492, 2649, 497, 2666]",4,/,word
11,"[497, 2649, 510, 2666]",4,O,word
12,"[544, 2649, 606, 2666]",4,Vaudois,word
13,"[468, 2664, 476, 2681]",4,3,word
14,"[484, 2664, 493, 2681]",4,1,word
15,"[493, 2664, 498, 2681]",4,/,word
16,"[498, 2664, 507, 2681]",4,2,word
17,"[513, 2664, 522, 2681]",4,0,word
18,"[522, 2664, 527, 2681]",4,/,word
19,"[528, 2664, 537, 2681]",4,0,word
20,"[542, 2664, 615, 2681]",4,Lausanne,word
21,"[468, 2678, 476, 2695]",4,3,word
22,"[485, 2678, 494, 2695]",4,1,word
23,"[494, 2678, 499, 2695]",4,/,word
24,"[499, 2678, 507, 2695]",4,2,word
25,"[507, 2678, 512, 2695]",4,",",word
26,"[512, 2678, 520, 2695]",4,0,word
27,"[520, 2678, 525, 2695]",4,/,word
28,"[525, 2678, 534, 2695]",4,0,word
29,"[541, 2678, 587, 2695]",4,Caisse,word
30,"[595, 2678, 652, 2695]",4,hypoîh,word
31,"[652, 2678, 658, 2695]",4,.,word
32,"[658, 2678, 728, 2695]",4,vaudolse,word
33,"[468, 2693, 477, 2710]",4,4,word
34,"[484, 2693, 493, 2710]",4,1,word
35,"[492, 2693, 497, 2710]",4,/,word
36,"[496, 2693, 505, 2710]",4,2,word
37,"[512, 2693, 536, 2710]",4,070,word
38,"[541, 2693, 573, 2710]",4,Jura,word
39,"[573, 2693, 579, 2710]",4,-,word
40,"[579, 2693, 643, 2710]",4,Siinpïon,word
41,"[663, 2693, 670, 2710]",4,.,word
42,"[683, 2693, 690, 2710]",4,.,word
43,"[701, 2693, 708, 2710]",4,.,word
44,"[468, 2708, 477, 2726]",4,4,word
45,"[484, 2708, 493, 2726]",4,0,word
46,"[492, 2708, 497, 2726]",4,/,word
47,"[497, 2708, 506, 2726]",4,0,word
48,"[514, 2708, 555, 2726]",4,GIlon,word
49,"[555, 2708, 561, 2726]",4,-,word
50,"[561, 2708, 590, 2726]",4,Nay,word
51,"[590, 2708, 598, 2726]",4,é,word
52,"[468, 2723, 476, 2740]",4,4,word
53,"[484, 2723, 497, 2740]",4,Q,word
54,"[495, 2723, 500, 2740]",4,/,word
55,"[499, 2723, 508, 2740]",4,0,word
56,"[538, 2723, 581, 2740]",4,Viege,word
57,"[581, 2723, 587, 2740]",4,-,word
58,"[587, 2723, 647, 2740]",4,Zepmatt,word
59,"[664, 2723, 671, 2740]",4,.,word
60,"[682, 2723, 689, 2740]",4,.,word
61,"[468, 2738, 476, 2755]",4,4,word
62,"[484, 2738, 493, 2755]",4,0,word
63,"[493, 2738, 499, 2755]",4,/,word
64,"[499, 2738, 508, 2755]",4,0,word
65,"[508, 2738, 514, 2755]",4,",",word
66,"[514, 2738, 594, 2755]",4,Tramways,word
67,"[603, 2738, 687, 2755]",4,lausannois,word
68,"[468, 2752, 527, 2770]",4,Actions,word
69,"[532, 2752, 589, 2770]",4,Banque,word
70,"[595, 2752, 645, 2770]",4,çajtxjn,word
71,"[646, 2752, 650, 2770]",4,.,word
72,"[659, 2752, 728, 2770]",4,vaudoise,word
73,"[491, 2766, 500, 2784]",4,»,word
74,"[559, 2766, 573, 2784]",4,»,word
75,"[597, 2766, 662, 2784]",4,dTÉscom,word
76,"[662, 2766, 666, 2784]",4,",",word
77,"[665, 2766, 686, 2784]",4,pte,word
78,"[492, 2782, 500, 2799]",4,»,word
79,"[560, 2782, 574, 2799]",4,»,word
80,"[598, 2782, 616, 2799]",4,de,word
81,"[622, 2782, 698, 2799]",4,Montreux,word
82,"[492, 2797, 500, 2814]",4,»,word
83,"[530, 2797, 577, 2814]",4,Caisse,word
84,"[590, 2797, 643, 2814]",4,hypoth,word
85,"[643, 2797, 648, 2814]",4,.,word
86,"[659, 2797, 728, 2814]",4,vaudoise,word
87,"[492, 2812, 500, 2829]",4,»,word
88,"[530, 2812, 548, 2829]",4,La,word
89,"[556, 2812, 603, 2829]",4,suisse,word
90,"[603, 2812, 608, 2829]",4,",",word
91,"[613, 2812, 637, 2829]",4,Cie,word
92,"[644, 2812, 728, 2829]",4,assurances,word
93,"[492, 2827, 500, 2844]",4,»,word
94,"[530, 2827, 576, 2844]",4,Viëgè,word
95,"[576, 2827, 583, 2844]",4,-,word
96,"[583, 2827, 641, 2844]",4,zermâti,word
97,"[642, 2827, 646, 2844]",4,.,word
98,"[663, 2827, 670, 2844]",4,.,word
99,"[683, 2827, 690, 2844]",4,.,word
100,"[703, 2827, 710, 2844]",4,.,word
101,"[719, 2827, 726, 2844]",4,",",word
102,"[491, 2842, 500, 2859]",4,»,word
103,"[530, 2842, 573, 2859]",4,Gilon,word
104,"[573, 2842, 580, 2859]",4,-,word
105,"[580, 2842, 614, 2859]",4,rtàie,word
106,"[628, 2842, 635, 2859]",4,.,word
