Identifiant de la notice	Thèque	Titre collection	Titre propre	Date de diffusion	Date d'enregistrement	Heure de diffusion	Titre phonogramme	Genre	Thématique	Durée
PHD85000118	PH (Phono)	Le journal sonore de la semaine	Joseph GOEBBELS lit un texte d'Adolf HITLER sur l'annexion de la Tchécoslovaquie	15/03/1939	15/03/1939			"Déclaration ; "	"Politique ; "	00:03:46
PHD85000121	PH (Phono)	Radio journal de France	Léon Blum fait appel aux détenteurs de capitaux	17/07/1936	17/07/1936			"Journal parlé ; "		00:13:21
PHD85000672	PH (Phono)	La voix de Paris	Gaston HENRY-HAYE : les projets de la nouvelle municipalité de Versailles		20/10/1935			"Interview entretien ; Journal parlé ; "	"Tourisme ; "	00:02:27
PHD85000963	PH (Phono)	Radio journal de France	Maurice BOURDET : lecture des informations du jour	07/01/1936	07/01/1936			"Journal parlé ; Papier ; "	"Information ; "	00:05:57
PHD85001640	PH (Phono)	Radio journal de France	Appel à la nation de Jules ROMAINS	30/10/1938	30/10/1938			"Déclaration ; Journal parlé ; "	"Littérature ; Politique ; "	00:25:00
PHD85001684	PH (Phono)	Radio journal de France	150ème anniversaire de la Révolution française : discours de Jean Zay au palais de Chaillot	23/06/1939	23/06/1939			"Déclaration ; Reportage ; "	"Histoire ; "	00:17:32
PHD85006308	PH (Phono)	Radio journal de France	Camille CHAUTEMPS : le code de la paix sociale	27/01/1938	27/01/1938			"Déclaration ; Journal parlé ; "	"Information ; "	00:17:07
PHD85007899	PH (Phono)	Radio journal de France	Edouard DALADIER appelle les Français à l'effort	21/08/1938	21/08/1938			"Déclaration ; Journal parlé ; "	"Information ; Politique ; "	00:16:27
PHD85007938	PH (Phono)	Radio journal de France	150ème anniversaire de la Révolution française : réponses au discours de Albert LEBRUN	14/07/1939	14/07/1939			"Causerie ; "	"Information ; "	00:13:00
PHD85010248	PH (Phono)	Le journal sonore de la semaine	"Serge LIFAR parle du ballet ""Oriane et le Prince d'Amour"""	10/01/1938	07/01/1938			"Journal parlé ; "		00:01:33
PHD85010249	PH (Phono)	Le journal sonore de la semaine	Meeting contre l'augmentation des taxes sur l'essence		10/01/1938			"Déclaration ; Journal parlé ; Reportage ; "	"Information ; "	00:01:17
PHD85010250	PH (Phono)	Le journal sonore de la semaine	"ALIBERT au Théâtre des Variétés dans ""Un de la Canebière"""	10/01/1938	09/01/1938			"Bruitage image sonore ; Interview entretien ; Journal parlé ; Reportage ; "	"Spectacle ; "	00:01:33
PHD85010251	PH (Phono)	Le journal sonore de la semaine	Exposition d'art belge à Paris		10/01/1938			"Journal parlé ; Reportage ; "	"Beaux arts ; "	00:01:40
PHD85010252	PH (Phono)	Le journal sonore de la semaine	Remise d'un fanion d'honneur au général GOURAUD	10/01/1938	09/01/1938			"Bruitage image sonore ; Journal parlé ; Reportage ; "	"Politique ; "	00:03:03
PHD85010254	PH (Phono)	Le journal sonore de la semaine	Discours de réception de Léon Bérard à l'Académie française	03/03/1938	02/03/1938			"Déclaration ; Journal parlé ; "	"Littérature ; "	00:01:00
PHD85010257	PH (Phono)	Le journal sonore de la semaine	Le nouveau ministère de la propagande	28/03/1938	28/03/1938			"Déclaration ; Journal parlé ; "	"Politique ; "	00:00:59
PHD85010258	PH (Phono)	Le journal sonore de la semaine	La Suède remet un fanion au 4ème régiment d'infanterie		28/03/1938			"Bruitage image sonore ; Déclaration ; Journal parlé ; Reportage ; "	"Information ; "	00:05:56
PHD85010259	PH (Phono)	Le journal sonore de la semaine	Tour de chant de Lys GAUTY	28/03/1938	28/03/1938			"Interview entretien ; Journal parlé ; Reportage ; "	"Variétés ; "	00:03:28
PHD85010260	PH (Phono)	Le journal sonore de la semaine	Louis LUMIERE durant le banquet réalisé pour sa retraite		04/04/1938			"Journal parlé ; "		00:01:03
PHD85010261	PH (Phono)	Le journal sonore de la semaine	Aux Invalides : remises de décorations aux poilus d'Orient		04/04/1938			"Déclaration ; Journal parlé ; Reportage ; "	"Information ; "	00:03:25
PHD85010262	PH (Phono)	Le journal sonore de la semaine	Discours d'Edouard Daladier à Alger		06/01/1939			"Déclaration ; Journal parlé ; "	"Politique ; "	00:02:25
PHD85010263	PH (Phono)	Le journal sonore de la semaine	Arrivée du président du conseil DALADIER à Ajaccio		02/01/1939			"Journal parlé ; Reportage ; "	"Politique ; "	00:01:03
PHD85010274	PH (Phono)	Le journal sonore de la semaine	50ème anniversaire de l'élection du professeur DARSONVAL à l'académie de médecine		13/06/1938			"Déclaration ; Journal parlé ; Reportage ; "	"Médecine santé ; Sciences ; "	00:01:26
PHD85010275	PH (Phono)	Le journal sonore de la semaine	Les souverains britanniques sont attendus à Paris	13/06/1938	13/06/1938			"Déclaration ; Journal parlé ; "	"Politique ; "	00:01:38
PHD85010276	PH (Phono)	Le journal sonore de la semaine	André MAUROIS : déclaration sur la visite de Georges VI et Elisabeth	20/06/1938	20/06/1938			"Déclaration ; Journal parlé ; "	"Information ; "	00:03:11
PHD85010277	PH (Phono)	Le journal sonore de la semaine	Edmée FAVART nommée chevalier de la Légion d'Honneur	20/06/1938	18/06/1938			"Déclaration ; Journal parlé ; Reportage ; "	"Musique ; "	00:08:29
PHD85010278	PH (Phono)	Le journal sonore de la semaine	André MAUROIS est élu à l'Académie française	27/06/1938	01/06/1938			"Interview entretien ; Journal parlé ; Reportage ; "	"Littérature ; "	00:01:42
PHD85010279	PH (Phono)	Le journal sonore de la semaine	"André de FOUQUIERES présente le ""Bal des bijoux"" Théâtre Marigny"	27/06/1938	27/06/1938			"Journal parlé ; Reportage ; "	"Théâtre ; "	00:01:56
PHD85010280	PH (Phono)	Le journal sonore de la semaine	Le tour du monde de Guy de LARIGAUDIE	04/07/1938	04/07/1938			"Interview entretien ; Journal parlé ; "	"Aventure exploration ; "	00:02:33
PHD85010281	PH (Phono)	Le journal sonore de la semaine	"Baptême d'une promotion d'aviateurs ; l'avenir de la puissance aérienne de la France"	04/07/1938	04/07/1938			"Bruitage image sonore ; Journal parlé ; Reportage ; "	"Politique ; "	00:01:11
PHD85010282	PH (Phono)	Le journal sonore de la semaine	Le 32ème tour de France	04/07/1938	04/07/1938			"Interview entretien ; Journal parlé ; "	"Sports ; "	00:06:48
PHD85027168	PH (Phono)	Radio journal de France	Allocution de Gaston DOUMERGUE : premier bilan de son action	14/05/1934	14/05/1934			"Déclaration ; "	"Politique ; "	00:21:15
PHD86069359	PH (Phono)	Radio journal de France	Discours d'Edouard DALADIER sur le pacte germano soviétique	25/08/1939	25/08/1939			"Déclaration ; "	"Politique ; "	00:07:27
PHD86069641	PH (Phono)	Radio journal de France	A l'ouverture de l'exposition universelle Léon BLUM s'adresse aux Etats-Unis	14/05/1937	14/05/1937			"Déclaration ; Reportage ; "	"Politique ; "	00:10:10
PHL06036453	PH (Phono)	Le journal sonore de la semaine	Tirage au sort de la Coupe du monde de football 1938		01/02/1938			"Journal parlé ; Reportage ; "	"Sports ; "	00:02:21
PHL09013542	PH (Phono)	La voix de Paris	Création du comité d'études des coutumes indigènes en Afrique Noire		01/10/1937			"Déclaration ; Journal parlé ; "	"Ethnologie ; "	00:05:57
PHL09013596	PH (Phono)	La voix de Paris	Alphonse GASNIER DUPARC revient d'un voyage d'étude au Maroc		01/01/1936			"Interview entretien ; Journal parlé ; "	"Politique ; "	00:02:12
PHV09013543	PH (Phono)	La voix de Paris	Marius MOUTET donne ses impressions après son voyage en Afrique Noire		01/01/1938			"Causerie ; Journal parlé ; "		00:03:17
PH102000405	PH (Phono)	Radio journal de France	Discours de Gaston DOUMERGUE après trois mois de gouvernement	14/05/1934	14/05/1934			"Déclaration ; "	"Politique ; "	00:03:28
PH109000998	PH (Phono)	La voix de Paris	Yvette GUILBERT parle de sa tournée en Europe centrale		01/01/1938			"Interview entretien ; "	"Variétés ; "	00:06:47
PH113007568	PH (Phono)	Radio journal de France	Maurice BOURDET : lecture des informations du jour	15/01/1936	15/01/1936			"Journal parlé ; Papier ; "	"Information ; "	00:00:51
PHD85008904	PH (Phono)	Radio Actualités Françaises	Arrivée à La Baule du rallye automobile international	05/09/1938	05/09/1938			"Interview entretien ; Reportage ; "	"Sports ; "	00:03:35
PHD85008908	PH (Phono)	Radio Actualités Françaises	Neuvième attribution du prix du roman d'aventure à Pierre BOILEAU	06/06/1938	06/06/1938			"Interview entretien ; Reportage ; "	"Littérature ; "	00:03:14
PHD85008917	PH (Phono)	Radio Actualités Françaises	Les petits chanteurs à la croix de bois rentrent de voyage	17/01/1938	17/01/1938			"Reportage ; "	"Musique ; "	00:01:05
PHD85008919	PH (Phono)	Radio Actualités Françaises	"Yvonne PRINTEMPS aux Bouffes Parisiens chante ""les trois valses"""	17/01/1938	17/01/1938			"Interprétation ; Reportage ; "	"Variétés ; "	00:01:21
PHD86068817	PH (Phono)	Radio Actualités Françaises	Aviation : Coupe Deutsch		01/01/1939			"Journal parlé ; Reportage ; "	"Industrie ; Information ; "	00:02:40
PHD86068891	PH (Phono)	Radio Actualités Françaises	Jean MISTLER : La solidarité Franco-Britannique	07/03/1938	07/03/1938			"Interview entretien ; "	"Politique ; "	00:00:59
PHD86068892	PH (Phono)	Radio Actualités Françaises	Tino ROSSI à son retour des Etats-Unis	07/03/1938	07/03/1938			"Interview entretien ; "	"Variétés ; "	00:02:15
PHD86068893	PH (Phono)	Radio Actualités Françaises	Maurice CHEVALIER avant son départ en tournée en Afrique du Nord	07/03/1938	07/03/1938			"Interview entretien ; "	"Variétés ; "	00:02:08
PHD86068895	PH (Phono)	Radio Actualités Françaises	L'Anschluss à Vienne	11/04/1938	11/04/1938			"Bruitage image sonore ; Papier ; Reportage ; "	"Politique ; "	00:03:24
PHD86068896	PH (Phono)	Radio Actualités Françaises	Les étudiants parisiens fêtent la faluche	11/04/1938	11/04/1938			"Reportage ; "	"Société ; "	00:03:00
PHD86068897	PH (Phono)	Radio Actualités Françaises	Trois explorateurs reviennent du pays des têtes coupées		11/04/1938			"Reportage ; "	"Aventure exploration ; Ethnologie ; "	00:02:33
PHD86068898	PH (Phono)	Radio Actualités Françaises	La fin de la crise ministérielle		11/04/1938			"Déclaration ; "	"Politique ; "	00:02:47
PHD86068899	PH (Phono)	Radio Actualités Françaises	La fondation de la phonothèque nationale du disque	11/07/1938	11/07/1938			"Document à base d'archives ; Interview entretien ; "	"Société ; "	00:02:59
PHD86068900	PH (Phono)	Radio Actualités Françaises	Discours de Raymond POINCARE sur les origines de la guerre		14/07/1915			"Déclaration ; Reportage ; "	"Politique ; "	00:01:00
PHD86068901	PH (Phono)	Radio Actualités Françaises	Cécile SOREL, avant son départ pour l'Amérique du Sud	11/07/1938	11/07/1938			"Interview entretien ; "	"Théâtre ; "	00:01:28
PHD86068902	PH (Phono)	Radio Actualités Françaises	Reportage à Reims dans la cathédrale reconstruite	11/07/1938	09/07/1938			"Bruitage image sonore ; Papier ; Reportage ; "	"Politique ; Religion ; "	00:03:52
PHD86068903	PH (Phono)	Radio Actualités Françaises	Offre d'emploi et demande d'emploi		11/07/1938			"Journal parlé ; "	"Vie quotidienne ; "	00:01:45
PHD86068904	PH (Phono)	Radio Actualités Françaises	Reportage à l'école militaire de Saint-Cyr	18/07/1938	18/07/1938			"Bruitage image sonore ; Reportage ; "	"Politique ; "	00:03:34
PHD86068905	PH (Phono)	Radio Actualités Françaises	Visite des souverains anglais en France	18/07/1938	18/07/1938			"Interview entretien ; Reportage ; "	"Histoire ; Politique ; "	00:02:48
PHD86068906	PH (Phono)	Radio Actualités Françaises	Versailles accueille les souverains anglais		21/07/1938			"Reportage ; "	"Politique ; "	00:02:27
PHD86068907	PH (Phono)	Radio Actualités Françaises	Versailles accueille les souverains anglais		21/07/1938			"Reportage ; "	"Politique ; "	00:02:11
PHD86068908	PH (Phono)	Radio Actualités Françaises	Interview d'Annabella à son retour d'Hollywood	01/08/1938	01/08/1938			"Interview entretien ; "	"Cinéma ; "	00:03:39
PHD86068909	PH (Phono)	Radio Actualités Françaises	Arrivée du 32ème Tour de France au Parc des Princes		01/08/1938			"Interview entretien ; Reportage ; "		00:09:40
PHD86068910	PH (Phono)	Radio Actualités Françaises	Fête nationale suisse à Paris	01/08/1938	01/08/1938			"Déclaration ; "	"Vie quotidienne ; "	00:03:05
PHD86068911	PH (Phono)	Radio Actualités Françaises	Cérémonie à la mémoire d'OBERKAMPF à Jouy-en-Josas	01/08/1938	01/08/1938			"Déclaration ; Interview entretien ; Reportage ; "	"Politique ; Vie quotidienne ; "	00:02:08
PHD86068912	PH (Phono)	Radio Actualités Françaises	Fin d'office de Dominicains		08/08/1938			"Reportage ; "	"Religion ; "	00:00:28
PHD86068913	PH (Phono)	Radio Actualités Françaises	Annonce d'un accident au laboratoire du ministère de l'air de Meudon	08/08/1938	08/08/1938			"Journal parlé ; Papier ; "	"Technologie ; "	00:01:00
PHD86068914	PH (Phono)	Radio Actualités Françaises	700 cadets de l'armée Britannique passent par Paris	15/08/1938	15/08/1938			"Reportage ; "	"Politique ; "	00:02:51
PHD86068915	PH (Phono)	Radio Actualités Françaises	MISTINGUETT souhaite de bonnes vacances à son public		15/08/1938			"Interview entretien ; "	"Variétés ; "	00:03:04
PHD86068916	PH (Phono)	Radio Actualités Françaises	Maurice CHEVALIER en vacances sur la Côte d'Azur	22/08/1938	22/08/1938			"Interview entretien ; "	"Variétés ; "	00:02:47
PHD86068917	PH (Phono)	Radio Actualités Françaises	63 fermiers de l'Ohio visitent l'Europe	22/08/1938	22/08/1938			"Interview entretien ; Reportage ; "	"Information ; "	00:03:22
PHD86068918	PH (Phono)	Radio Actualités Françaises	Interview de Tristan Bernard à Deauville	29/08/1938	29/08/1938			"Interview entretien ; "	"Littérature ; Tourisme ; "	00:02:36
PHD86068919	PH (Phono)	Radio Actualités Françaises	Championnats du monde cyclistes de vitesse à Amsterdam	29/08/1938	29/08/1938			"Interview entretien ; Reportage ; "	"Sports ; "	00:03:16
PHD86068920	PH (Phono)	Radio Actualités Françaises	Edvard BENES incite les Tchèques au calme	12/09/1938	01/09/1938			"Déclaration ; Papier ; Reportage ; "	"Politique ; "	00:02:00
PHD86068921	PH (Phono)	Radio Actualités Françaises	24e anniversaire de la bataille de Marne A MEAUX	12/09/1938	12/09/1938			"Reportage ; "	"Histoire ; Religion ; "	00:02:10
PHD86068922	PH (Phono)	Radio Actualités Françaises	"Le ""Bayreuth"" de l'accordéon dans le Pas-de-Calais"	12/09/1938	12/09/1938			"Reportage ; "	"Variétés ; "	00:01:14
PHD86068923	PH (Phono)	Radio Actualités Françaises	"La radio a ""couvert"" les évènements dramatiques de la semaine"		19/09/1938			"Rétrospective ; "	"Histoire ; Politique ; "	00:02:29
PHD86068924	PH (Phono)	Radio Actualités Françaises	Le cardinal VERDIER après un premier appel à la mobilisation	19/09/1938	19/09/1938			"Déclaration ; "	"Politique ; "	00:03:03
PHD86068925	PH (Phono)	Radio Actualités Françaises	L'attitude des églises avant les négociations de Munich	19/09/1938	19/09/1938			"Reportage ; "	"Religion ; "	00:02:02
PHD86068926	PH (Phono)	Radio Actualités Françaises	Neville CHAMBERLAIN à son retour de Munich	30/09/1938	30/09/1938			"Interview entretien ; "	"Politique ; "	00:01:38
PHD86068927	PH (Phono)	Radio Actualités Françaises	Les petits chanteurs alsaciens de Hochstatt chantent à Paris	30/09/1938	30/09/1938			"Interprétation ; Reportage ; "	"Variétés ; "	00:02:22
PHD86068928	PH (Phono)	Radio Actualités Françaises	"Fête des ""caf'conc"" au vélodrome Buffalo"		30/09/1938			"Reportage ; "	"Spectacle ; Variétés ; "	00:02:34
PHD86068929	PH (Phono)	Radio Actualités Françaises	20e anniversaire de l'armistice : programmes des cérémonies	30/09/1938	30/09/1938			"Reportage ; "	"Histoire ; "	00:01:58
PHD86068930	PH (Phono)	Radio Actualités Françaises	Saint-Denis célèbre son Saint Patron	30/09/1938	30/09/1938			"Bruitage image sonore ; Reportage ; "	"Religion ; "	00:02:30
PHD86068931	PH (Phono)	Radio Actualités Françaises	Extrait d'une répétition de jazz	30/09/1938	30/09/1938			"Interprétation ; "	"Jazz ; "	00:01:44
PHD86068932	PH (Phono)	Radio Actualités Françaises	Maurice CHEVALIER pendant une répétition sur un plateau Montmartrois	30/09/1938	30/09/1938			"Interview entretien ; "	"Variétés ; "	00:02:29
PHD86068933	PH (Phono)	Radio Actualités Françaises	"""Duo"" de Colette mis en scène par Paul GERALDY"		30/09/1938			"Interview entretien ; "	"Littérature ; Théâtre ; "	00:02:58
PHD86068934	PH (Phono)	Radio Actualités Françaises	Inauguration d'un monument à la mémoire d'Albert 1er, roi des Belges		17/10/1938			"Journal parlé ; "	"Histoire ; Politique ; "	00:04:03
PHD86068935	PH (Phono)	Radio Actualités Françaises	Appel au peuple pour constituer un cabinet de salut public	17/10/1938	17/10/1938			"Déclaration ; "	"Politique ; "	00:01:34
PHD86068936	PH (Phono)	Radio Actualités Françaises	Le général PERSHING est fait citoyen d'honneur de Saint Dié		24/10/1938			"Reportage ; "	"Politique ; "	00:02:06
PHD86068937	PH (Phono)	Radio Actualités Françaises	Inauguration du musée Sarah BERNHARDT	24/10/1938	24/10/1938			"Document à base d'archives ; Lecture ; Reportage ; "	"Théâtre ; "	00:02:22
PHD86068938	PH (Phono)	Radio Actualités Françaises	Visite du roi Carol II de Roumanie à Londres	21/11/1938	21/11/1938			"Reportage ; "	"Politique ; "	00:04:14
PHD86068939	PH (Phono)	Radio Actualités Françaises	Grand Prix littéraire de la ville de Paris décerné A ANDRE DUMAS	21/11/1938	21/11/1938			"Interview entretien ; Reportage ; "	"Littérature ; "	00:00:49
PHD86068940	PH (Phono)	Radio Actualités Françaises	"Josette DAYDE est élue ""Mademoiselle jeunesse"" 1938"	21/11/1938	21/11/1938			"Interprétation ; Interview entretien ; Reportage ; "	"Variétés ; "	00:01:46
PHD86068941	PH (Phono)	Radio Actualités Françaises	"Première mondiale du film ""Retour à l'aube"""	21/11/1938	21/11/1938			"Reportage ; "	"Cinéma ; "	00:02:37
PHD86068942	PH (Phono)	Radio Actualités Françaises	Albert PREJEAN rentre des Etats-Unis	21/11/1938	21/11/1938			"Interview entretien ; "	"Cinéma ; "	00:01:46
PHD86068943	PH (Phono)	Radio Actualités Françaises	Les cinquante ans de l'Institut Pasteur	21/11/1938	21/11/1938			"Interview entretien ; "	"Médecine santé ; "	00:03:50
PHD86068944	PH (Phono)	Radio Actualités Françaises	Le bal des forts des Halles	21/11/1938	21/11/1938			"Bruitage image sonore ; Reportage ; "	"Artisanat ; Variétés ; "	00:04:30
PHD86068945	PH (Phono)	Radio Actualités Françaises	Fête de la jeunesse et fête à Luna Park	28/11/1938	28/11/1938			"Interprétation ; Reportage ; "	"Variétés ; "	00:02:15
PHD86068946	PH (Phono)	Radio Actualités Françaises	La Saint Sylvestre 1938 dans les Cabarets de Paris	02/01/1939	31/01/1938			"Bruitage image sonore ; Reportage ; "	"Variétés ; "	00:06:54
PHD86068947	PH (Phono)	Radio Actualités Françaises	Quelques personnalités le 1er janvier 1939 au matin	02/01/1939	02/01/1939			"Interview entretien ; "	"Variétés ; "	00:06:44
PHD86068948	PH (Phono)	Radio Actualités Françaises	RENE CAIRE PART EN TOURNEE AU CANADA ET AUX USA PENDANT 5 SEMAINES		01/01/1946			"Reportage ; "	"Variétés ; "	00:00:40
PHD86068949	PH (Phono)	Radio Actualités Françaises	Lancement du croiseur Richelieu à Brest	16/01/1939	16/01/1939			"Interview entretien ; Reportage ; "	"Politique ; "	00:03:14
PHD86068950	PH (Phono)	Radio Actualités Françaises	Cycle de manifestations artistiques des provinces françaises	16/01/1939	16/01/1939			"Interprétation ; Reportage ; "	"Tradition ethnique et populaire ; "	00:02:02
PHD86068951	PH (Phono)	Radio Actualités Françaises	Le doyen de la Comédie française prend sa retraite	16/01/1939	16/01/1939			"Interview entretien ; "	"Théâtre ; "	00:01:51
PHD86068952	PH (Phono)	Radio Actualités Françaises	Spectacle des Peter SISTERS dans un cirque parisien	16/01/1939	16/01/1939			"Interview entretien ; Journal parlé ; "	"Variétés ; "	00:02:33
PHD86068953	PH (Phono)	Radio Actualités Françaises	Match de catch : Henri DEGLANE contre le Canadien Yvon ROBERT	16/01/1939	16/01/1939			"Interview entretien ; "	"Sports ; "	00:01:29
PHD86068954	PH (Phono)	Radio Actualités Françaises	Mise à l'eau du cuirassé Richelieu	23/01/1939	23/01/1939			"Interview entretien ; Journal parlé ; Reportage ; "	"Politique ; "	00:04:33
PHD86068955	PH (Phono)	Radio Actualités Françaises	Conférence du Cardinal VERDIER : l'oeuvre colonisatrice et ses bienfaits	23/01/1939	23/01/1939			"Déclaration ; Journal parlé ; "	"Politique ; Religion ; "	00:01:58
PHD86068956	PH (Phono)	Radio Actualités Françaises	La bohême au quartier latin	23/01/1939	21/01/1939			"Interprétation ; Reportage ; "	"Variétés ; "	00:02:57
PHD86068957	PH (Phono)	Radio Actualités Françaises	Gisèle CASADESUS plus jeune sociétaire de la Comédie française	23/01/1939	23/01/1939			"Interview entretien ; "	"Théâtre ; "	00:02:15
PHD86068958	PH (Phono)	Radio Actualités Françaises	Fête de l'Ecole des Beaux-Arts au quartier latin	06/02/1939	06/02/1939			"Bruitage image sonore ; Reportage ; "	"Beaux arts ; Education pédagogie ; "	00:03:09
PHD86068959	PH (Phono)	Radio Actualités Françaises	Concours de la société des Yodleurs des montagnes helvétiques	06/02/1939	06/02/1939			"Interprétation ; Reportage ; "	"Tradition ethnique et populaire ; "	00:02:33
PHD86068960	PH (Phono)	Radio Actualités Françaises	Roller Catch au Palais des Sports	06/02/1939	06/02/1939			"Reportage ; "	"Sports ; "	00:04:15
PHD86068961	PH (Phono)	Radio Actualités Françaises	Le Maréchal PETAIN est nommé ambassadeur en Espagne	13/03/1939	13/03/1939			"Chronique ; "	"Politique ; "	00:03:12
PHD86068962	PH (Phono)	Radio Actualités Françaises	Couronnement de PIE XII à Rome	13/03/1939	12/03/1939			"Bruitage image sonore ; Reportage ; "	"Religion ; "	00:07:59
PHD86068963	PH (Phono)	Radio Actualités Françaises	Le prix Isabelle MALET est décerné A MARIE Noël (semaine de bonté)		13/03/1939			"Journal parlé ; "	"Littérature ; "	00:02:58
PHD86068964	PH (Phono)	Radio Actualités Françaises	Jean SABLON rentre des Etats-Unis	13/03/1939	13/03/1939			"Interview entretien ; "	"Music hall ; "	00:04:15
PHD86068965	PH (Phono)	Radio Actualités Françaises	Centenaire de l'association des anciens du lycée Louis le Grand	13/03/1939	13/03/1939			"Déclaration ; Reportage ; "	"Education pédagogie ; Histoire ; "	00:02:46
PHD86068966	PH (Phono)	Radio Actualités Françaises	40ème Paris - Roubaix	10/04/1939	10/04/1939			"Bruitage image sonore ; Reportage ; "	"Sports ; "	00:04:08
PHD86068967	PH (Phono)	Radio Actualités Françaises	Une femme a traversé le Lac Tchad en bateau	17/04/1939	17/04/1939			"Interview entretien ; "	"Aventure exploration ; "	00:03:22
PHD86068968	PH (Phono)	Radio Actualités Françaises	Automobile, 43ème record de la côte de La Turbie	17/04/1939	01/04/1939			"Bruitage image sonore ; Interview entretien ; Reportage ; "	"Sports ; "	00:04:17
PHD86068969	PH (Phono)	Radio Actualités Françaises	Congrès jubilaire de la jeunesse agricole chrétienne	24/04/1939	24/04/1939			"Bruitage image sonore ; Interview entretien ; Reportage ; "	"Religion ; "	00:04:57
PHD86068970	PH (Phono)	Radio Actualités Françaises	Henri de VILMORIN a parcouru Paris - Saigon en automobile de série	24/04/1939	01/04/1939			"Interview entretien ; "	"Aventure exploration ; Sports ; "	00:08:16
PHD86068972	PH (Phono)	Radio Actualités Françaises	Reda CAIRE revient des USA	24/04/1939	24/04/1939			"Interprétation ; Interview entretien ; "	"Variétés ; "	00:03:09
PHD86068973	PH (Phono)	Radio Actualités Françaises	Centenaire de la restauration des dominicains	01/05/1939	01/05/1939			"Bruitage image sonore ; Reportage ; "	"Religion ; "	00:03:17
PHD86068974	PH (Phono)	Radio Actualités Françaises	Soirée annuelle de l'association des étudiants de Paris	01/05/1939	01/05/1939			"Interprétation ; Reportage ; "	"Variétés ; "	00:03:39
PHD86068975	PH (Phono)	Radio Actualités Françaises	Annonce des fêtes de Jeanne d'ARC A ORLEANS	08/05/1939	08/05/1939			"Brève ; "	"Tradition ethnique et populaire ; "	00:00:10
PHD86068976	PH (Phono)	Radio Actualités Françaises	La journée nationale de l'infanterie	08/05/1939	07/05/1939			"Déclaration ; "	"Histoire ; "	00:01:43
PHD86068977	PH (Phono)	Radio Actualités Françaises	"René DORIN présente sa première comédie, ""Mailloche"" à la Madeleine"	08/05/1939	08/05/1939			"Interview entretien ; "	"Théâtre ; "	00:02:08
PHD86068978	PH (Phono)	Radio Actualités Françaises	Norman Davis préside la Ligue Internationale de la Croix Rouge à Paris	22/05/1939	22/05/1939			"Interview entretien ; "	"Médecine santé ; "	00:02:20
PHD86068979	PH (Phono)	Radio Actualités Françaises	Jacques ZIMMERMANN lauréat du prix Albert LONDRES 1939	22/05/1939	22/05/1939			"Interview entretien ; "	"Média ; "	00:01:32
PHD86068980	PH (Phono)	Radio Actualités Françaises	Vente annuelle des écrivains au profit des anciens combattants	22/05/1939	22/05/1939			"Reportage ; "	"Littérature ; "	00:04:22
PHD86068981	PH (Phono)	Radio Actualités Françaises	Coupe Davis à Roland Garros	22/05/1939	22/05/1939			"Reportage ; "	"Sports ; "	00:02:42
PHD86068982	PH (Phono)	Radio Actualités Françaises	Au fronton de Paris : match des champions de pelote basque	22/05/1939	22/05/1939			"Reportage ; "	"Sports ; "	00:03:47
PHD86068983	PH (Phono)	Radio Actualités Françaises	Semaine du commerce extérieur, premier duplex France - Etats Unis	29/05/1939	29/05/1939			"Reportage ; "	"Politique ; Technologie ; "	00:03:37
PHD86068984	PH (Phono)	Radio Actualités Françaises	La semaine du commerce extérieur	29/05/1939	29/05/1939			"Reportage ; "	"Information ; "	00:01:37
PHD86068985	PH (Phono)	Radio Actualités Françaises	20ème assemblée générale des combattants à Arcachon	29/05/1939	29/05/1939			"Déclaration ; "		00:01:32
PHD86068986	PH (Phono)	Radio Actualités Françaises	André MAUROIS et Jules ROMAINS rentrent des Etats-Unis	29/05/1939	29/05/1939			"Interview entretien ; "	"Littérature ; "	00:03:28
PHD86068987	PH (Phono)	Radio Actualités Françaises	Quatre Prix Nobel français tiennent une conférence de presse	29/05/1939	29/05/1939			"Conférence de presse ; "	"Sciences ; "	00:03:52
PHD86068988	PH (Phono)	Radio Actualités Françaises	Georges MONNERET est champion auto - moto	29/05/1939	29/05/1939			"Bruitage image sonore ; Interview entretien ; Reportage ; "	"Sports ; "	00:03:55
PHD86068989	PH (Phono)	Radio Actualités Françaises	"Paul Emile VICTOR vient d'écrire ""Banquises"""	29/05/1939	29/05/1939			"Interview entretien ; "	"Ethnologie ; Littérature ; Sciences exactes ; "	00:03:19
PHD86068990	PH (Phono)	Radio Actualités Françaises	Fête de Jeanne d'ARC à Domrémy en présence du primat canadien	04/06/1939	04/06/1939			"Reportage ; "	"Religion ; "	00:03:39
PHD86068991	PH (Phono)	Radio Actualités Françaises	Remise du Prix de la Renaissance	12/06/1939	12/06/1939			"Interview entretien ; Reportage ; "	"Littérature ; "	00:03:30
PHD86068992	PH (Phono)	Radio Actualités Françaises	Institution du carnet de santé	12/06/1939	12/06/1939			"Interview entretien ; "	"Médecine santé ; "	00:02:44
PHD86068993	PH (Phono)	Radio Actualités Françaises	Courses landaises à Paris	12/06/1939	12/06/1939			"Reportage ; "	"Tradition ethnique et populaire ; "	00:02:22
PHD86068994	PH (Phono)	Radio Actualités Françaises	Raymond ROULEAU jouera Britannicus en costume moderne	12/06/1939	12/06/1939			"Interview entretien ; "	"Théâtre ; "	00:02:14
