Identifiant de la notice	Thèque	Titre collection	Titre propre	Date de diffusion	Date d'enregistrement	Heure de diffusion	Titre phonogramme	Genre	Thématique	Durée
PHD98211570	PH (Phono)	Le téléphone sonne	Canal Plus	24/11/1983	24/11/1983	19:27:45		"Déclaration ; Interview entretien ; "	"Média ; "	00:30:00
PHD98212180	PH (Phono)	Le téléphone sonne	Le rôle de la police dans les affaires criminelles	29/11/1983	29/11/1983	19:21:00		"Magazine ; "	"Information ; "	00:41:10
PHD98212185	PH (Phono)	Le téléphone sonne	Comment choisir un jouet ?	30/11/1983	30/11/1983	19:23:45		"Interview entretien ; "	"Loisirs ; "	00:35:30
PHD98212493	PH (Phono)	Le téléphone sonne	Un an avec ANDROPOV, cent jours sans lui	01/12/1983	01/12/1983	19:23:25		"Magazine ; "	"Politique ; "	00:33:50
PHD98212549	PH (Phono)	Le téléphone sonne	De quoi et pourquoi l'Europe est-elle malade ?	06/12/1983	06/12/1983	19:24:00		"Magazine ; "	"Politique ; "	00:31:45
PHD98212563	PH (Phono)	Le téléphone sonne	Le problème du logement	07/12/1983	07/12/1983	19:25:00		"Magazine ; "	"Information ; "	00:35:00
PHD98212580	PH (Phono)	Le téléphone sonne	Les programmes télévisés	08/12/1983	08/12/1983	19:21:05		"Magazine ; "	"Média ; "	00:34:00
PHD98212658	PH (Phono)	Le téléphone sonne	Baby Jane ou le droit à la vie	15/12/1983	15/12/1983	19:28:35		"Déclaration ; Interview entretien ; Magazine ; "	"Information ; Médecine santé ; "	00:27:40
PHD98212745	PH (Phono)	Le téléphone sonne	Le ski hors-piste	20/12/1983	20/12/1983	19:24:45		"Interview entretien ; "	"Loisirs ; "	00:25:20
PHD98212754	PH (Phono)	Le téléphone sonne	Quelle politique industrielle pour la France ?	21/12/1983	21/12/1983	19:28:20		"Interview entretien ; "	"Information ; "	00:24:55
PHD98212764	PH (Phono)	Le téléphone sonne	La protection contre les catastrophes	22/12/1983	22/12/1983	19:24:00		"Interview entretien ; "	"Information ; "	00:25:00
PHD98217268	PH (Phono)	Le téléphone sonne	La vente au rabais de voitures par Michel LECLERC	03/01/1984	03/01/1984	19:22:15		"Déclaration ; Interview entretien ; Magazine ; "	"Information ; "	
PHD98217291	PH (Phono)	Le téléphone sonne	Comment lutter contre les pirates de la vidéo	04/01/1984	04/01/1984	19:20:43		"Interview entretien ; "	"Cinéma ; Information ; "	00:38:13
PHD98217304	PH (Phono)	Le téléphone sonne	Euthanasie ou presque	05/01/1984	05/01/1984	19:21:10		"Interview entretien ; "	"Information ; Médecine santé ; "	00:38:50
PHD98217474	PH (Phono)	Le téléphone sonne	Comment protéger les enfants du divorce ?	10/01/1984	10/01/1984	19:27:40		"Débat ; "	"Information ; "	00:31:20
PHD98217501	PH (Phono)	Le téléphone sonne	La montée du dollar	11/01/1984	11/01/1984	19:26:10		"Débat ; "	"Information ; "	00:30:40
PHD98217513	PH (Phono)	Le téléphone sonne	Comment lutter contre l'analphabétisme en France	12/01/1984	12/01/1984	19:27:10		"Déclaration ; Interview entretien ; "	"Education pédagogie ; Sciences humaines ; "	00:32:05
PHD98217699	PH (Phono)	Le téléphone sonne	Robert BOULIN : crime ou suicide ?	17/01/1984	17/01/1984	19:24:00		"Débat ; "	"Information ; "	00:34:30
PHD98217706	PH (Phono)	Le téléphone sonne	Où commencent et où s'arrêtent la raison et le secret d'Etat ?	18/01/1984	18/01/1984	19:26:00		"Déclaration ; Interview entretien ; Journal parlé ; "	"Information ; "	00:31:30
PHD98217715	PH (Phono)	Le téléphone sonne	Yvon GATTAZ	19/01/1984	19/01/1984	19:26:00		"Déclaration ; Interview entretien ; Journal parlé ; "	"Information ; Politique ; "	00:32:00
PHD98217601	PH (Phono)	Le téléphone sonne	La graphologie	25/01/1984	25/01/1984	19:26:30		"Débat ; Journal parlé ; "	"Information ; Psychologie ; "	00:33:35
PHD98217784	PH (Phono)	Le téléphone sonne	Les jeunes et le nucléaire	01/02/1984	01/02/1984	19:24:50		"Magazine ; "	"Information ; "	00:31:35
PHD98217782	PH (Phono)	Le téléphone sonne	Quels programmes de télévision pour demain ?	02/02/1984	02/02/1984	19:22:25		"Magazine ; "	"Média ; "	00:36:05
PHY05069009	PH (Phono)	Le téléphone sonne	Spécial Liban	08/02/1984	08/02/1984	19:27:30		"Journal parlé ; "	"Information ; "	00:36:00
PHY05069240	PH (Phono)	Le téléphone sonne	Epargne : Attention aux pièges	09/02/1984	09/02/1984	19:27:10		"Journal parlé ; "	"Information ; "	00:34:30
PHD98212934	PH (Phono)	Le téléphone sonne	Quelle Union Soviétique avec M. TCHERNENKO ?	14/02/1984	14/02/1984	19:23:55		"Débat ; Journal parlé ; "	"Politique ; "	00:34:40
PHD98212940	PH (Phono)	Le téléphone sonne	La lutte contre la drogue	15/02/1984	15/02/1984	19:24:00		"Interview entretien ; Journal parlé ; "	"Information ; "	00:33:30
PHD98212959	PH (Phono)	Le téléphone sonne	Les guides-accompagnateurs	16/02/1984	16/02/1984	19:25:30		"Interview entretien ; Journal parlé ; "	"Tourisme ; "	00:32:10
PHD98213027	PH (Phono)	Le téléphone sonne	Le poids des corporations en France	21/02/1984	21/02/1984	19:26:45		"Journal parlé ; "	"Information ; "	00:33:30
PHD98213047	PH (Phono)	Le téléphone sonne	Urgence psychiatrie	22/02/1984	22/02/1984	19:28:25		"Déclaration ; Interview entretien ; Magazine ; "	"Médecine santé ; Psychologie ; "	00:31:40
PHD98213050	PH (Phono)	Le téléphone sonne	Pour ou contre la télévision privée ?	23/02/1984	23/02/1984	19:24:30		"Déclaration ; Interview entretien ; Magazine ; "	"Média ; "	00:35:30
PHD98213110	PH (Phono)	Le téléphone sonne	La guerre Iran / Irak	28/02/1984	28/02/1984	19:26:20		"Déclaration ; Interview entretien ; Magazine ; "	"Politique ; "	00:33:30
PHD98213129	PH (Phono)	Le téléphone sonne	Faut-il supprimer l'impôt sur le revenu ?	29/02/1984	29/02/1984	19:25:25		"Déclaration ; Interview entretien ; Magazine ; "	"Information ; "	00:33:30
PHD98213150	PH (Phono)	Le téléphone sonne	Le 35ème salon de l'automobile de Genève	01/03/1984	01/03/1984	19:26:00		"Déclaration ; Interview entretien ; Journal parlé ; Magazine ; "	"Industrie ; Information ; "	00:31:50
PHY05074541	PH (Phono)	Le téléphone sonne	Suicides en France : qui et pour quelles raisons	07/03/1984	07/03/1984	19:22:15		"Déclaration ; Interview entretien ; Journal parlé ; "	"Information ; "	
PHY05074601	PH (Phono)	Le téléphone sonne	La journée internationale des femmes	08/03/1984	08/03/1984	19:34:45		"Journal parlé ; "		00:26:00
PHD98217364	PH (Phono)	Le téléphone sonne	Les assurances automobiles	13/03/1984	13/03/1984	19:22:30		"Magazine ; "	"Information ; "	00:37:45
PHD98217370	PH (Phono)	Le téléphone sonne	Rugby, le Grand Chelem, jour moins 3	14/03/1984	14/03/1984	19:22:30		"Magazine ; "	"Sports ; "	00:33:00
PHD98217388	PH (Phono)	Le téléphone sonne	Le phénomène Gary HART	15/03/1984	15/03/1984	19:21:35		"Magazine ; "	"Politique ; "	00:38:00
