,issue_id,date,local_path,extension,notice,xml_filepath,issue_title,collection_title,radio_channel,broadcast_time
28942,RueDE-1987-11-14-a,14/11/1987,['INA/Data/Les_banques_suisses/PHD98231480_87F05001H1200SA0318_01___EXPORT.MP3'],MP3,PHD98231480,['INA/Data/Les_banques_suisses/PHD98231480_87F05001H1200SA0318_01___EXPORT.json'],Les entreprises francaises,Rue des entrepreneurs,Radio France,12:04:40
28943,TelSonne-1987-11-17-a,17/11/1987,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231530_87F05001H1900SA0321_01_162602_593124_EXPORT.MP3""]",MP3,PHD98231530,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231530_87F05001H1900SA0321_01_162602_593124_EXPORT.json""]",Le role des critiques litteraires,Le telephone sonne,Radio France,19:17:25
28944,TelSonne-1987-11-19-a,19/11/1987,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231564_87F05001H1900SA0323_01_165401_593102_EXPORT.MP3""]",MP3,PHD98231564,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231564_87F05001H1900SA0323_01_165401_593102_EXPORT.json""]",Le financement des partis politiques,Le telephone sonne,Radio France,19:17:50
28945,RueDE-1987-11-21-a,21/11/1987,['INA/Data/Les_banques_suisses/PHD98231582_87F05001H1200SA0325_01___EXPORT.MP3'],MP3,PHD98231582,['INA/Data/Les_banques_suisses/PHD98231582_87F05001H1200SA0325_01___EXPORT.json'],Inventer le client,Rue des entrepreneurs,Radio France,12:06:30
28946,RueDE-1987-11-21-b,21/11/1987,['INA/Data/Les_banques_suisses/PHD98231582_87INA06001PC0047_01_3902_540005_EXPORT.MP3'],MP3,PHD98231582,['INA/Data/Les_banques_suisses/PHD98231582_87INA06001PC0047_01_3902_540005_EXPORT.json'],Inventer le client,Rue des entrepreneurs,Radio France,12:06:30
28947,TelSonne-1987-11-24-a,24/11/1987,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231624_87F05001H1900SA0328_01_150619_1001305_EXPORT.MP3""]",MP3,PHD98231624,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231624_87F05001H1900SA0328_01_150619_1001305_EXPORT.json""]",Debat avec des representants d'organisations non gouvernementales,Le telephone sonne,Radio France,19:15:45
28948,TelSonne-1987-11-25-a,25/11/1987,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231631_87F05001H1900SA0329_01_182411_595215_EXPORT.MP3""]",MP3,PHD98231631,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231631_87F05001H1900SA0329_01_182411_595215_EXPORT.json""]",Debat sur l'aquaculture,Le telephone sonne,Radio France,19:18:35
28949,TelSonne-1987-11-26-a,26/11/1987,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231655_87F05001H1900SA0330_01_183106_1013304_EXPORT.MP3""]",MP3,PHD98231655,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231655_87F05001H1900SA0330_01_183106_1013304_EXPORT.json""]",La quarantaine Au feminin,Le telephone sonne,Radio France,19:18:45
28950,RueDE-1987-11-28-a,28/11/1987,['INA/Data/Les_banques_suisses/PHD98231678_87F05001H1200SA0332_01___EXPORT.MP3'],MP3,PHD98231678,['INA/Data/Les_banques_suisses/PHD98231678_87F05001H1200SA0332_01___EXPORT.json'],Les risques technologiques,Rue des entrepreneurs,Radio France,12:06:00
28951,RueDE-1987-11-28-b,28/11/1987,['INA/Data/Les_banques_suisses/PHD98231678_87INA06001PC0048_01_3821_503424_EXPORT.MP3'],MP3,PHD98231678,['INA/Data/Les_banques_suisses/PHD98231678_87INA06001PC0048_01_3821_503424_EXPORT.json'],Les risques technologiques,Rue des entrepreneurs,Radio France,12:06:00
28952,TelSonne-1987-12-01-a,01/12/1987,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231715_87F05001H1900SA0335_01_165612_1002718_EXPORT.MP3""]",MP3,PHD98231715,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231715_87F05001H1900SA0335_01_165612_1002718_EXPORT.json""]",Dix ans et vivre a Beyrouth,Le telephone sonne,Radio France,19:17:25
28953,TelSonne-1987-12-02-a,02/12/1987,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231716_87F05001H1900SA0336_01_153716_1010806_EXPORT.MP3""]",MP3,PHD98231716,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231716_87F05001H1900SA0336_01_153716_1010806_EXPORT.json""]",Le PCF,Le telephone sonne,Radio France,19:15:30
28954,TelSonne-1987-12-03-a,03/12/1987,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231736_87F05001H1900SA0337_01_170517_594119_EXPORT.MP3""]",MP3,PHD98231736,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231736_87F05001H1900SA0337_01_170517_594119_EXPORT.json""]",Le renouveau du ski francais,Le telephone sonne,Radio France,19:16:55
28955,RueDE-1987-12-05-a,05/12/1987,['INA/Data/Les_banques_suisses/PHD98231758_87F05001H1200SA0339_01___EXPORT.MP3'],MP3,PHD98231758,['INA/Data/Les_banques_suisses/PHD98231758_87F05001H1200SA0339_01___EXPORT.json'],L'etat de la France des entreprises en 1988,Rue des entrepreneurs,Radio France,12:05:30
28956,RueDE-1987-12-05-b,05/12/1987,['INA/Data/Les_banques_suisses/PHD98231758_87INA06001PC0049_01_3823_512009_EXPORT.MP3'],MP3,PHD98231758,['INA/Data/Les_banques_suisses/PHD98231758_87INA06001PC0049_01_3823_512009_EXPORT.json'],L'etat de la France des entreprises en 1988,Rue des entrepreneurs,Radio France,12:05:30
28957,TelSonne-1987-12-08-a,08/12/1987,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231790_87F05001H1900SA0342_01_170011_594822_EXPORT.MP3""]",MP3,PHD98231790,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231790_87F05001H1900SA0342_01_170011_594822_EXPORT.json""]",Le telephone sonne : A quoi servent les prud'hommes ?,Le telephone sonne,Radio France,19:17:15
28958,TelSonne-1987-12-09-a,09/12/1987,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231806_87F05001H1900SA0343_01_170524_561310_EXPORT.MP3""]",MP3,PHD98231806,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231806_87F05001H1900SA0343_01_170524_561310_EXPORT.json""]",L'echographie chez les femmes enceintes,Le telephone sonne,Radio France,19:17:10
28959,TelSonne-1987-12-10-a,10/12/1987,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231810_87F05001H1900SA0344_01_162901_593618_EXPORT.MP3""]",MP3,PHD98231810,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231810_87F05001H1900SA0344_01_162901_593618_EXPORT.json""]",Reagan- Gorbatchev  un sommet pour l'histoire,Le telephone sonne,Radio France,19:16:30
28960,RueDE-1987-12-12-a,12/12/1987,['INA/Data/Les_banques_suisses/PHD98231844_87INA06001PC0050_01___EXPORT.MP3'],MP3,PHD98231844,['INA/Data/Les_banques_suisses/PHD98231844_87INA06001PC0050_01___EXPORT.json'],La Drome,Rue des entrepreneurs,Radio France,12:04:20
28961,TelSonne-1987-12-15-a,15/12/1987,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231894_87F05001H1900SA0349_01_183918_1004410_EXPORT.MP3""]",MP3,PHD98231894,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231894_87F05001H1900SA0349_01_183918_1004410_EXPORT.json""]",Le travail des enfants dans le monde,Le telephone sonne,Radio France,19:19:40
28962,TelSonne-1987-12-16-a,16/12/1987,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231896_87F05001H1900SA0350_01_163400_1002214_EXPORT.MP3""]",MP3,PHD98231896,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231896_87F05001H1900SA0350_01_163400_1002214_EXPORT.json""]",Les greffes cardiaques,Le telephone sonne,Radio France,19:17:35
28963,TelSonne-1987-12-17-a,17/12/1987,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231913_87F05001H1900SA0351_01_185024_594520_EXPORT.MP3""]",MP3,PHD98231913,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231913_87F05001H1900SA0351_01_185024_594520_EXPORT.json""]",La revolte en Roumanie,Le telephone sonne,Radio France,19:19:50
28964,TelSonne-1987-12-22-a,22/12/1987,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231919_87F05001H1900SA0356_01_161115_594124_EXPORT.MP3""]",MP3,PHD98231919,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231919_87F05001H1900SA0356_01_161115_594124_EXPORT.json""]",Jean ARTHUIS,Le telephone sonne,Radio France,19:16:30
28965,TelSonne-1987-12-23-a,23/12/1987,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231932_87F05001H1900SA0357_01_160116_594608_EXPORT.MP3""]",MP3,PHD98231932,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231932_87F05001H1900SA0357_01_160116_594608_EXPORT.json""]",Alain GRUND,Le telephone sonne,Radio France,19:16:01
28966,RueDE-1987-12-26-a,26/12/1987,['INA/Data/Les_banques_suisses/PHD98231962_87F05001H1200SA0360_01___EXPORT.MP3'],MP3,PHD98231962,['INA/Data/Les_banques_suisses/PHD98231962_87F05001H1200SA0360_01___EXPORT.json'],Le marche des arts de la table,Rue des entrepreneurs,Radio France,12:04:50
28967,RueDE-1987-12-26-b,26/12/1987,['INA/Data/Les_banques_suisses/PHD98231962_87INA06001PC0052_01_4017_545521_EXPORT.MP3'],MP3,PHD98231962,['INA/Data/Les_banques_suisses/PHD98231962_87INA06001PC0052_01_4017_545521_EXPORT.json'],Le marche des arts de la table,Rue des entrepreneurs,Radio France,12:04:50
28968,TelSonne-1987-12-29-a,29/12/1987,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231992_87F05001H1900SA0363_01_160311_594613_EXPORT.MP3""]",MP3,PHD98231992,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98231992_87F05001H1900SA0363_01_160311_594613_EXPORT.json""]",La grande pauvrete,Le telephone sonne,Radio France,19:16:40
28969,TelSonne-1987-12-30-a,30/12/1987,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98232007_87F05001H1900SA0364_01_152602_590109_EXPORT.MP3""]",MP3,PHD98232007,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98232007_87F05001H1900SA0364_01_152602_590109_EXPORT.json""]",L'illettrisme,Le telephone sonne,Radio France,19:15:35
28970,RueDE-1987-12-19-a,19/12/1987,['INA/Data/Les_banques_suisses/PHD98232041_87INA06001PC0051_01_3814_543403_EXPORT.MP3'],MP3,PHD98232041,['INA/Data/Les_banques_suisses/PHD98232041_87INA06001PC0051_01_3814_543403_EXPORT.json'],Les relations sociales dans l'entreprise,Rue des entrepreneurs,Radio France,12:00:05
28971,TelSonne-1987-12-21-a,21/12/1987,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98232076_87F05001H1900SA0355_01_153323_593600_EXPORT.MP3""]",MP3,PHD98232076,"[""INA/Data/Magazines_d'information/Le_telephone_sonne/PHD98232076_87F05001H1900SA0355_01_153323_593600_EXPORT.json""]",Les enfants ont aussi des droits,Le telephone sonne,Radio France,19:16:00
