,coords,page_no,token,type
0,"[197, 151, 358, 177]",1,RÉDACTION,word
1,"[227, 192, 254, 211]",1,Bue,word
2,"[258, 192, 309, 211]",1,Pépinely,word
3,"[317, 192, 330, 211]",1,X,word
4,"[137, 230, 225, 251]",1,BUREAU,word
5,"[238, 230, 253, 251]",1,D,word
6,"[252, 230, 258, 251]",1,',word
7,"[257, 230, 418, 251]",1,ABONNEMENTS,word
8,"[204, 265, 244, 284]",1,Buelle,word
9,"[250, 265, 323, 284]",1,SWrançois,word
10,"[321, 265, 325, 284]",1,",",word
11,"[329, 265, 348, 284]",1,20,word
12,"[346, 265, 351, 284]",1,",",word
13,"[111, 300, 131, 319]",1,On,word
14,"[136, 300, 144, 319]",1,s,word
15,"[143, 300, 147, 319]",1,',word
16,"[146, 300, 200, 319]",1,abonne,word
17,"[207, 300, 242, 319]",1,dans,word
18,"[247, 300, 279, 319]",1,tous,word
19,"[284, 300, 305, 319]",1,les,word
20,"[310, 300, 372, 319]",1,bureaux,word
21,"[377, 300, 395, 319]",1,de,word
22,"[400, 300, 441, 319]",1,poste,word
23,"[180, 322, 207, 341]",1,Les,word
24,"[213, 322, 312, 341]",1,abonnements,word
25,"[318, 322, 371, 341]",1,partent,word
26,"[146, 344, 165, 363]",1,du,word
27,"[174, 344, 179, 363]",1,i,word
28,"[181, 344, 189, 363]",1,"""",word
29,"[199, 344, 219, 363]",1,ou,word
30,"[226, 344, 246, 363]",1,du,word
31,"[255, 344, 274, 363]",1,15,word
32,"[280, 344, 299, 363]",1,de,word
33,"[306, 344, 360, 363]",1,chaque,word
34,"[367, 344, 387, 363]",1,me,word
35,"[392, 344, 397, 363]",1,.,word
36,"[396, 344, 405, 363]",1,S,word
37,"[404, 344, 409, 363]",1,.,word
0,"[65, 119, 464, 375]",1,,region
