,coords,page_no,token,type
0,"[2145, 400, 2195, 419]",1,PRIX,word
1,"[2207, 400, 2247, 419]",1,DES,word
2,"[2261, 400, 2376, 419]",1,ANNONCES,word
3,"[2068, 422, 2112, 441]",1,Pour,word
4,"[2118, 422, 2134, 441]",1,la,word
5,"[2141, 422, 2205, 441]",1,Suisse,word
6,"[2205, 422, 2212, 441]",1,.,word
7,"[2212, 422, 2217, 441]",1,.,word
8,"[2219, 422, 2224, 441]",1,.,word
9,"[2246, 422, 2267, 441]",1,25,word
10,"[2272, 422, 2350, 441]",1,centimes,word
11,"[2364, 422, 2373, 441]",1,J,word
12,"[2387, 422, 2399, 441]",1,la,word
13,"[2403, 422, 2441, 441]",1,ligne,word
14,"[2068, 444, 2111, 463]",1,Pour,word
15,"[2122, 444, 2128, 463]",1,l,word
16,"[2128, 444, 2134, 463]",1,',word
17,"[2134, 444, 2212, 463]",1,étranger,word
18,"[2212, 444, 2217, 463]",1,.,word
19,"[2217, 444, 2222, 463]",1,.,word
20,"[2245, 444, 2266, 463]",1,80,word
21,"[2271, 444, 2350, 463]",1,centimes,word
22,"[2363, 444, 2370, 463]",1,j,word
23,"[2374, 452, 2395, 465]",1,non,word
24,"[2403, 444, 2420, 463]",1,™,word
25,"[2440, 444, 2451, 463]",1,^,word
26,"[2067, 466, 2156, 485]",1,RÉCLAMES,word
27,"[2256, 466, 2266, 485]",1,1,word
28,"[2272, 466, 2317, 485]",1,franc,word
29,"[2363, 466, 2370, 485]",1,),word
30,"[2381, 466, 2387, 485]",1,(,word
31,"[2387, 466, 2427, 485]",1,corps,word
32,"[2432, 466, 2440, 485]",1,7,word
33,"[2439, 466, 2445, 485]",1,),word
34,"[2443, 466, 2448, 485]",1,",",word
35,"[2068, 506, 2113, 525]",1,Toute,word
36,"[2119, 506, 2161, 525]",1,lettre,word
37,"[2166, 506, 2181, 525]",1,et,word
38,"[2186, 506, 2218, 525]",1,tout,word
39,"[2224, 506, 2269, 525]",1,envoi,word
40,"[2275, 506, 2334, 525]",1,doivent,word
41,"[2338, 506, 2369, 525]",1,eire,word
42,"[2377, 506, 2461, 525]",1,affranchit,word
43,"[2461, 506, 2466, 525]",1,.,word
0,"[2044, 375, 2485, 531]",1,,region
