,coords,page_no,token,type
0,"[116, 171, 344, 211]",3,CONFÉDÉRATION,word
1,"[368, 171, 466, 211]",3,SUISSE,word
2,"[124, 232, 199, 249]",3,Chronique,word
3,"[209, 232, 227, 249]",3,du,word
4,"[239, 232, 325, 249]",3,référendum,word
5,"[325, 232, 330, 249]",3,.,word
6,"[344, 232, 362, 249]",3,—,word
7,"[372, 232, 391, 249]",3,Le,word
8,"[398, 232, 440, 249]",3,comit,word
9,"[440, 232, 448, 249]",3,é,word
10,"[456, 232, 474, 249]",3,du,word
11,"[107, 251, 191, 268]",3,référendum,word
12,"[200, 251, 208, 268]",3,a,word
13,"[215, 251, 248, 268]",3,reçu,word
14,"[254, 251, 264, 268]",3,d,word
15,"[264, 251, 268, 268]",3,',word
16,"[268, 251, 287, 268]",3,un,word
17,"[296, 251, 346, 268]",3,village,word
18,"[354, 251, 371, 268]",3,de,word
19,"[378, 251, 384, 268]",3,l,word
20,"[384, 251, 387, 268]",3,',word
21,"[387, 251, 475, 268]",3,Emmenthal,word
22,"[107, 270, 130, 288]",3,des,word
23,"[142, 270, 180, 288]",3,listes,word
24,"[193, 270, 267, 288]",3,contenant,word
25,"[282, 270, 327, 288]",3,toutes,word
26,"[335, 270, 355, 288]",3,les,word
27,"[362, 270, 442, 288]",3,signatures,word
28,"[450, 270, 474, 288]",3,des,word
29,"[105, 290, 166, 307]",3,citoyens,word
30,"[174, 290, 213, 307]",3,actifs,word
31,"[221, 290, 238, 307]",3,de,word
32,"[245, 290, 258, 307]",3,la,word
33,"[265, 290, 320, 307]",3,localité,word
34,"[321, 290, 325, 307]",3,",",word
35,"[330, 290, 338, 307]",3,à,word
36,"[343, 290, 348, 307]",3,l,word
37,"[348, 290, 352, 307]",3,',word
38,"[352, 290, 424, 307]",3,exception,word
39,"[433, 290, 443, 307]",3,d,word
40,"[443, 290, 447, 307]",3,',word
41,"[447, 290, 474, 307]",3,une,word
42,"[106, 309, 144, 326]",3,seule,word
43,"[145, 309, 149, 326]",3,.,word
44,"[156, 309, 175, 326]",3,La,word
45,"[183, 309, 222, 326]",3,lettre,word
46,"[230, 309, 254, 326]",3,qui,word
47,"[262, 309, 365, 326]",3,accompagnait,word
48,"[376, 309, 397, 326]",3,cet,word
49,"[405, 309, 445, 326]",3,envoi,word
50,"[453, 309, 468, 326]",3,di,word
51,"[469, 309, 474, 326]",3,-,word
52,"[107, 328, 132, 345]",3,sait,word
53,"[139, 328, 165, 345]",3,que,word
54,"[172, 328, 203, 345]",3,tous,word
55,"[211, 328, 231, 345]",3,les,word
56,"[240, 328, 304, 345]",3,citoyens,word
57,"[305, 328, 309, 345]",3,",",word
58,"[323, 328, 355, 345]",3,sans,word
59,"[368, 328, 448, 345]",3,distinction,word
60,"[457, 328, 474, 345]",3,de,word
61,"[105, 347, 148, 364]",3,partis,word
62,"[148, 347, 153, 364]",3,",",word
63,"[161, 347, 230, 364]",3,signaient,word
64,"[238, 347, 271, 364]",3,avec,word
65,"[278, 347, 291, 364]",3,le,word
66,"[298, 347, 329, 364]",3,plus,word
67,"[337, 347, 381, 364]",3,grand,word
68,"[396, 347, 467, 364]",3,empresse,word
69,"[468, 347, 473, 364]",3,-,word
70,"[105, 366, 142, 384]",3,ment,word
71,"[143, 366, 147, 384]",3,.,word
72,"[123, 391, 184, 409]",3,Citoyens,word
73,"[191, 391, 284, 409]",3,clairvoyante,word
74,"[284, 391, 288, 409]",3,.,word
75,"[302, 391, 320, 409]",3,—,word
76,"[334, 391, 346, 409]",3,A,word
77,"[359, 391, 394, 409]",3,Bôle,word
78,"[394, 391, 398, 409]",3,",",word
79,"[412, 391, 446, 409]",3,dans,word
80,"[460, 391, 473, 409]",3,le,word
81,"[103, 411, 152, 428]",3,canton,word
82,"[159, 411, 176, 428]",3,de,word
83,"[185, 411, 262, 428]",3,Neuchâtel,word
84,"[262, 411, 267, 428]",3,",",word
85,"[275, 411, 299, 428]",3,sur,word
86,"[311, 411, 338, 428]",3,une,word
87,"[352, 411, 415, 428]",3,centaine,word
88,"[424, 411, 434, 428]",3,d,word
89,"[434, 411, 437, 428]",3,',word
90,"[437, 411, 468, 428]",3,élec,word
91,"[468, 411, 474, 428]",3,-,word
92,"[103, 430, 140, 447]",3,teurs,word
93,"[147, 430, 205, 447]",3,inscrits,word
94,"[205, 430, 210, 447]",3,",",word
95,"[218, 430, 266, 447]",3,quatre,word
96,"[266, 430, 273, 447]",3,-,word
97,"[273, 430, 313, 447]",3,vingt,word
98,"[313, 430, 320, 447]",3,-,word
99,"[320, 430, 352, 447]",3,cinq,word
100,"[368, 430, 392, 447]",3,ont,word
101,"[407, 430, 438, 447]",3,sign,word
102,"[438, 430, 446, 447]",3,é,word
103,"[459, 430, 472, 447]",3,la,word
104,"[104, 449, 170, 466]",3,demande,word
105,"[177, 449, 193, 466]",3,de,word
106,"[200, 449, 287, 466]",3,référendum,word
107,"[300, 449, 323, 466]",3,sur,word
108,"[332, 449, 352, 466]",3,les,word
109,"[359, 449, 410, 466]",3,projets,word
110,"[420, 449, 430, 466]",3,d,word
111,"[430, 449, 434, 466]",3,',word
112,"[434, 449, 466, 466]",3,assu,word
113,"[467, 449, 473, 466]",3,-,word
114,"[103, 468, 143, 485]",3,rance,word
115,"[153, 468, 212, 485]",3,fédérale,word
116,"[212, 468, 217, 485]",3,.,word
117,"[119, 500, 159, 517]",3,Croix,word
118,"[159, 500, 165, 517]",3,-,word
119,"[165, 500, 210, 517]",3,Rouge,word
120,"[210, 500, 215, 517]",3,.,word
121,"[228, 500, 246, 517]",3,—,word
122,"[266, 500, 284, 517]",3,Le,word
123,"[296, 500, 338, 517]",3,comit,word
124,"[339, 500, 347, 517]",3,é,word
