,coords,page_no,token,type
0,"[1665, 1699, 1679, 1725]",2,L,word
1,"[1679, 1699, 1684, 1725]",2,',word
2,"[1684, 1699, 1780, 1725]",2,ébonlemen,word
3,"[1780, 1699, 1787, 1725]",2,t,word
4,"[1799, 1699, 1841, 1725]",2,dans,word
5,"[1850, 1699, 1868, 1725]",2,le,word
6,"[1875, 1699, 1935, 1725]",2,tunnel,word
7,"[1947, 1699, 1973, 1725]",2,dn,word
8,"[1979, 1699, 2033, 1725]",2,Credo,word
9,"[2033, 1699, 2038, 1725]",2,.,word
10,"[1686, 1732, 1710, 1751]",2,On,word
11,"[1717, 1732, 1735, 1751]",2,lit,word
12,"[1744, 1732, 1782, 1751]",2,dans,word
13,"[1789, 1732, 1804, 1751]",2,le,word
14,"[1813, 1732, 1875, 1751]",2,Journal,word
15,"[1886, 1732, 1905, 1751]",2,de,word
16,"[1911, 1732, 1971, 1751]",2,Genève,word
17,"[1975, 1732, 1981, 1751]",2,:,word
18,"[1684, 1758, 1704, 1777]",2,La,word
19,"[1711, 1758, 1750, 1777]",2,pluie,word
20,"[1761, 1758, 1846, 1777]",2,persistante,word
21,"[1858, 1758, 1877, 1777]",2,ne,word
22,"[1886, 1758, 1937, 1777]",2,facilite,word
23,"[1945, 1758, 1971, 1777]",2,pas,word
24,"[1977, 1758, 1991, 1777]",2,la,word
25,"[1998, 1758, 2039, 1777]",2,tâche,word
26,"[1666, 1777, 1691, 1796]",2,des,word
27,"[1697, 1777, 1776, 1796]",2,nombreux,word
28,"[1783, 1777, 1849, 1796]",2,ouvriers,word
29,"[1850, 1777, 1854, 1796]",2,.,word
30,"[1862, 1777, 1882, 1796]",2,Le,word
31,"[1893, 1777, 1969, 1796]",2,déblayage,word
32,"[1980, 1777, 1998, 1796]",2,ne,word
33,"[2005, 1777, 2038, 1796]",2,peut,word
34,"[1666, 1796, 1674, 1815]",2,s,word
35,"[1673, 1796, 1677, 1815]",2,',word
36,"[1676, 1796, 1741, 1815]",2,effectuer,word
37,"[1756, 1796, 1776, 1815]",2,qu,word
38,"[1776, 1796, 1779, 1815]",2,',word
39,"[1779, 1796, 1815, 1815]",2,avec,word
40,"[1826, 1796, 1899, 1815]",2,beaucoup,word
41,"[1906, 1796, 1924, 1815]",2,de,word
42,"[1930, 1796, 2002, 1815]",2,prudence,word
43,"[2002, 1796, 2007, 1815]",2,",",word
44,"[2014, 1796, 2038, 1815]",2,car,word
45,"[1666, 1816, 1679, 1835]",2,le,word
46,"[1692, 1816, 1737, 1835]",2,Credo,word
47,"[1749, 1816, 1816, 1835]",2,continue,word
48,"[1829, 1816, 1838, 1835]",2,à,word
49,"[1849, 1816, 1857, 1835]",2,s,word
50,"[1856, 1816, 1860, 1835]",2,',word
51,"[1859, 1816, 1910, 1835]",2,effriter,word
52,"[1921, 1816, 1930, 1835]",2,à,word
53,"[1936, 1816, 2008, 1835]",2,plusieurs,word
54,"[2014, 1816, 2033, 1835]",2,en,word
55,"[2033, 1816, 2039, 1835]",2,-,word
56,"[1666, 1835, 1712, 1854]",2,droits,word
57,"[1712, 1835, 1717, 1854]",2,.,word
58,"[1731, 1835, 1754, 1854]",2,Un,word
59,"[1767, 1835, 1841, 1854]",2,ingénieur,word
60,"[1841, 1835, 1846, 1854]",2,",",word
61,"[1859, 1835, 1877, 1854]",2,M,word
62,"[1875, 1835, 1880, 1854]",2,.,word
