,coords,page_no,token,type
0,"[501, 1497, 651, 1532]",3,CANTON,word
1,"[670, 1497, 721, 1532]",3,DE,word
2,"[740, 1497, 846, 1532]",3,VAUD,word
3,"[506, 1548, 603, 1565]",3,Gendarmerie,word
4,"[604, 1548, 608, 1565]",3,.,word
5,"[615, 1548, 633, 1565]",3,—,word
6,"[641, 1548, 659, 1565]",3,Le,word
7,"[672, 1548, 727, 1565]",3,Conseil,word
8,"[736, 1548, 746, 1565]",3,d,word
9,"[746, 1548, 749, 1565]",3,',word
10,"[749, 1548, 780, 1565]",3,Etat,word
11,"[789, 1548, 797, 1565]",3,a,word
12,"[805, 1548, 852, 1565]",3,nomm,word
13,"[853, 1548, 861, 1565]",3,é,word
14,"[487, 1567, 505, 1585]",3,au,word
15,"[513, 1567, 555, 1585]",3,grade,word
16,"[562, 1567, 579, 1585]",3,de,word
17,"[587, 1567, 595, 1585]",3,1,word
18,"[614, 1567, 691, 1585]",3,lieutenant,word
19,"[691, 1567, 696, 1585]",3,",",word
20,"[705, 1567, 718, 1585]",3,le,word
21,"[729, 1567, 805, 1585]",3,lieutenant,word
22,"[816, 1567, 860, 1585]",3,Emile,word
23,"[487, 1587, 529, 1604]",3,Paley,word
24,"[530, 1587, 535, 1604]",3,",",word
25,"[542, 1587, 583, 1604]",3,Nyon,word
26,"[590, 1587, 595, 1604]",3,;,word
27,"[606, 1587, 623, 1604]",3,au,word
28,"[638, 1587, 680, 1604]",3,grade,word
29,"[687, 1587, 704, 1604]",3,de,word
30,"[718, 1587, 794, 1604]",3,lieutenant,word
31,"[795, 1587, 800, 1604]",3,",",word
32,"[809, 1587, 822, 1604]",3,le,word
33,"[832, 1587, 854, 1604]",3,ser,word
34,"[855, 1587, 861, 1604]",3,-,word
35,"[488, 1606, 520, 1623]",3,gent,word
36,"[528, 1606, 570, 1623]",3,major,word
37,"[578, 1606, 635, 1623]",3,Eugène,word
38,"[642, 1606, 699, 1623]",3,Jaquier,word
39,"[699, 1606, 704, 1623]",3,",",word
40,"[713, 1606, 787, 1623]",3,Lausanne,word
41,"[788, 1606, 792, 1623]",3,.,word
42,"[506, 1632, 596, 1649]",3,Commission,word
43,"[604, 1632, 621, 1649]",3,de,word
44,"[627, 1632, 698, 1649]",3,clémence,word
45,"[698, 1632, 703, 1649]",3,.,word
46,"[708, 1632, 726, 1649]",3,—,word
47,"[739, 1632, 758, 1649]",3,Le,word
48,"[765, 1632, 820, 1649]",3,Conseil,word
49,"[829, 1632, 839, 1649]",3,d,word
50,"[839, 1632, 843, 1649]",3,',word
51,"[843, 1632, 854, 1649]",3,E,word
52,"[854, 1632, 860, 1649]",3,-,word
53,"[487, 1651, 506, 1668]",3,tat,word
54,"[514, 1651, 522, 1668]",3,a,word
55,"[528, 1651, 575, 1668]",3,nomm,word
56,"[576, 1651, 584, 1668]",3,é,word
57,"[591, 1651, 607, 1668]",3,M,word
58,"[607, 1651, 611, 1668]",3,.,word
59,"[623, 1651, 679, 1668]",3,Samuel,word
60,"[686, 1651, 754, 1668]",3,Cuénoud,word
61,"[755, 1651, 759, 1668]",3,.,word
62,"[768, 1651, 817, 1668]",3,ancien,word
63,"[827, 1651, 853, 1668]",3,syn,word
64,"[854, 1651, 860, 1668]",3,-,word
65,"[487, 1670, 510, 1687]",3,dic,word
66,"[516, 1670, 533, 1687]",3,de,word
67,"[541, 1670, 615, 1687]",3,Lausanne,word
68,"[616, 1670, 620, 1687]",3,",",word
69,"[628, 1670, 682, 1687]",3,comme,word
70,"[696, 1670, 758, 1687]",3,membre,word
71,"[773, 1670, 790, 1687]",3,de,word
72,"[802, 1670, 815, 1687]",3,la,word
73,"[823, 1670, 854, 1687]",3,com,word
74,"[855, 1670, 861, 1687]",3,-,word
75,"[488, 1689, 545, 1706]",3,mission,word
76,"[554, 1689, 572, 1706]",3,de,word
77,"[578, 1689, 648, 1706]",3,clémence,word
78,"[655, 1689, 689, 1706]",3,pour,word
79,"[698, 1689, 735, 1706]",3,1900,word
80,"[742, 1689, 755, 1706]",3,et,word
81,"[761, 1689, 800, 1706]",3,1901,word
82,"[801, 1689, 805, 1706]",3,.,word
83,"[505, 1722, 583, 1739]",3,MONTREUX,word
84,"[583, 1722, 587, 1739]",3,.,word
85,"[595, 1722, 613, 1739]",3,—,word
86,"[621, 1722, 640, 1739]",3,Le,word
