,coords,page_no,token,type
0,"[119, 586, 127, 607]",1,I,word
1,"[126, 586, 139, 607]",1,^,word
2,"[137, 586, 147, 607]",1,e,word
3,"[154, 586, 328, 607]",1,commencement,word
4,"[342, 586, 370, 607]",1,dn,word
5,"[387, 586, 456, 607]",1,feuille,word
6,"[458, 586, 465, 607]",1,-,word
7,"[98, 608, 131, 629]",1,ton,word
8,"[152, 608, 196, 629]",1,sera,word
9,"[213, 608, 278, 629]",1,envoy,word
10,"[280, 608, 290, 629]",1,é,word
11,"[317, 608, 466, 629]",1,gratuitement,word
12,"[98, 631, 137, 651]",1,aux,word
13,"[152, 631, 260, 651]",1,nouveaux,word
14,"[279, 631, 370, 651]",1,abonnés,word
15,"[389, 631, 425, 651]",1,qui,word
16,"[442, 631, 466, 651]",1,en,word
17,"[99, 653, 165, 673]",1,feront,word
18,"[176, 653, 195, 673]",1,la,word
19,"[207, 653, 307, 673]",1,demande,word
20,"[309, 653, 315, 673]",1,.,word
0,"[98, 587, 466, 673]",1,,region
