,coords,page_no,token,type
0,"[134, 2569, 248, 2595]",3,Observations,word
1,"[269, 2569, 416, 2595]",3,météorologiques,word
2,"[119, 2607, 138, 2624]",3,De,word
3,"[148, 2607, 161, 2624]",3,la,word
4,"[168, 2607, 220, 2624]",3,Station,word
5,"[233, 2607, 294, 2624]",3,centrale,word
6,"[306, 2607, 315, 2624]",3,d,word
7,"[315, 2607, 319, 2624]",3,',word
8,"[319, 2607, 363, 2624]",3,essais,word
9,"[376, 2607, 440, 2624]",3,viticoles,word
10,"[98, 2621, 116, 2639]",3,dn,word
11,"[127, 2621, 178, 2639]",3,Champ,word
12,"[178, 2621, 184, 2639]",3,-,word
13,"[184, 2621, 193, 2639]",3,d,word
14,"[193, 2621, 198, 2639]",3,.,word
15,"[198, 2621, 205, 2639]",3,e,word
16,"[205, 2621, 211, 2639]",3,-,word
17,"[211, 2621, 233, 2639]",3,VA,word
18,"[233, 2621, 238, 2639]",3,.,word
19,"[238, 2621, 249, 2639]",3,ir,word
20,"[256, 2621, 262, 2639]",3,:,word
21,"[267, 2621, 280, 2639]",3,A,word
22,"[291, 2621, 300, 2639]",3,7,word
23,"[313, 2621, 322, 2639]",3,1,word
24,"[321, 2621, 326, 2639]",3,/,word
25,"[325, 2621, 334, 2639]",3,8,word
26,"[346, 2621, 355, 2639]",3,h,word
27,"[355, 2621, 360, 2639]",3,.,word
28,"[367, 2621, 381, 2639]",3,m,word
29,"[381, 2621, 386, 2639]",3,.,word
30,"[387, 2621, 391, 2639]",3,",",word
31,"[398, 2621, 407, 2639]",3,1,word
32,"[406, 2621, 411, 2639]",3,/,word
33,"[410, 2621, 419, 2639]",3,2,word
34,"[427, 2621, 436, 2639]",3,h,word
35,"[437, 2621, 441, 2639]",3,.,word
36,"[449, 2621, 462, 2639]",3,et,word
37,"[98, 2636, 107, 2653]",3,»,word
38,"[111, 2636, 120, 2653]",3,1,word
39,"[119, 2636, 124, 2653]",3,/,word
40,"[123, 2636, 132, 2653]",3,2,word
41,"[137, 2636, 146, 2653]",3,h,word
42,"[146, 2636, 151, 2653]",3,.,word
43,"[158, 2636, 165, 2653]",3,s,word
44,"[165, 2636, 169, 2653]",3,.,word
45,"[169, 2636, 174, 2653]",3,.,word
46,"[180, 2636, 196, 2653]",3,—,word
47,"[201, 2636, 224, 2653]",3,Alt,word
48,"[224, 2636, 228, 2653]",3,.,word
49,"[235, 2636, 240, 2653]",3,:,word
50,"[246, 2636, 272, 2653]",3,665,word
51,"[271, 2636, 277, 2653]",3,-,word
52,"[282, 2636, 287, 2653]",3,;,word
53,"[294, 2636, 333, 2653]",3,Long,word
54,"[334, 2636, 338, 2653]",3,.,word
55,"[345, 2636, 350, 2653]",3,;,word
56,"[357, 2636, 366, 2653]",3,ô,word
57,"[365, 2636, 374, 2653]",3,*,word
58,"[373, 2636, 390, 2653]",3,38,word
59,"[388, 2636, 392, 2653]",3,',word
60,"[391, 2636, 399, 2653]",3,6,word
61,"[398, 2636, 406, 2653]",3,"""",word
62,"[411, 2636, 416, 2653]",3,;,word
63,"[424, 2636, 449, 2653]",3,Lat,word
64,"[450, 2636, 454, 2653]",3,.,word
65,"[97, 2650, 134, 2667]",3,UHV,word
66,"[134, 2650, 139, 2667]",3,.,word
67,"[144, 2650, 160, 2667]",3,—,word
68,"[165, 2650, 215, 2667]",3,Barom,word
69,"[215, 2650, 219, 2667]",3,.,word
70,"[227, 2650, 232, 2667]",3,:,word
71,"[237, 2650, 261, 2667]",3,713,word
72,"[266, 2650, 271, 2667]",3,;,word
73,"[276, 2650, 327, 2667]",3,Therm,word
74,"[327, 2650, 332, 2667]",3,.,word
75,"[340, 2650, 345, 2667]",3,:,word
76,"[350, 2650, 358, 2667]",3,9,word
77,"[357, 2650, 365, 2667]",3,*,word
78,"[364, 2650, 371, 2667]",3,6,word
79,"[370, 2650, 374, 2667]",3,.,word
80,"[380, 2650, 396, 2667]",3,—,word
81,"[400, 2650, 463, 2667]",3,Hauteur,word
82,"[97, 2665, 106, 2682]",3,d,word
83,"[106, 2665, 109, 2682]",3,',word
84,"[109, 2665, 134, 2682]",3,eau,word
85,"[142, 2665, 147, 2682]",3,:,word
86,"[152, 2665, 168, 2682]",3,M,word
87,"[167, 2665, 176, 2682]",3,»,word
88,"[176, 2665, 180, 2682]",3,.,word
89,"[113, 2720, 190, 2736]",3,NORMALES,word
90,"[194, 2720, 198, 2736]",3,:,word
91,"[205, 2720, 309, 2736]",3,Thermomètre,word
92,"[310, 2720, 315, 2736]",3,",",word
93,"[322, 2720, 330, 2736]",3,0,word
94,"[328, 2720, 337, 2736]",3,>,word
95,"[335, 2720, 343, 2736]",3,7,word
96,"[342, 2720, 346, 2736]",3,.,word
97,"[183, 2743, 222, 2760]",3,Pinte,word
98,"[222, 2743, 227, 2760]",3,",",word
99,"[232, 2743, 254, 2760]",3,89,word
100,"[254, 2743, 261, 2760]",3,"""",word
101,"[263, 2743, 267, 2760]",3,.,word
102,"[274, 2743, 316, 2760]",3,Soleil,word
103,"[316, 2743, 321, 2760]",3,",",word
104,"[333, 2743, 350, 2760]",3,69,word
105,"[353, 2743, 361, 2760]",3,4,word
106,"[366, 2743, 375, 2760]",3,h,word
107,"[101, 2792, 130, 2810]",3,Déc,word
108,"[130, 2792, 134, 2810]",3,.,word
109,"[134, 2792, 140, 2810]",3,-,word
110,"[140, 2792, 172, 2810]",3,Janv,word
111,"[172, 2792, 177, 2810]",3,.,word
112,"[209, 2793, 229, 2810]",3,91,word
113,"[255, 2795, 262, 2811]",3,1,word
114,"[300, 2795, 310, 2811]",3,2,word
115,"[345, 2795, 355, 2811]",3,8,word
116,"[388, 2795, 399, 2811]",3,<,word
117,"[133, 2816, 162, 2833]",3,780,word
118,"[133, 2847, 153, 2865]",3,78,word
119,"[149, 2847, 161, 2865]",3,B,word
120,"[133, 2878, 163, 2895]",3,720,word
121,"[133, 2909, 162, 2927]",3,715,word
122,"[137, 2929, 149, 2947]",3,M,word
123,"[147, 2929, 159, 2947]",3,.,word
124,"[157, 2929, 168, 2947]",3,-,word
125,"[134, 2943, 163, 2961]",3,710,word
126,"[134, 2974, 162, 2991]",3,706,word
127,"[134, 3006, 164, 3023]",3,700,word
128,"[135, 3037, 164, 3055]",3,695,word
129,"[136, 3069, 165, 3086]",3,690,word
130,"[168, 2842, 180, 2860]",3,-,word
131,"[168, 2877, 182, 2912]",3,s,word
132,"[179, 2877, 192, 2912]",3,-,word
133,"[168, 2904, 183, 2923]",3,zz,word
134,"[170, 2946, 176, 2962]",3,5,word
135,"[176, 2946, 182, 2962]",3,S,word
136,"[191, 2946, 197, 2962]",3,],word
137,"[170, 2975, 182, 2992]",3,=,word
138,"[180, 2975, 192, 2992]",3,~,word
139,"[189, 2975, 201, 2992]",3,",",word
140,"[170, 3043, 185, 3066]",3,5,word
141,"[179, 3043, 194, 3066]",3,-,word
142,"[188, 3043, 203, 3066]",3,1,word
143,"[323, 3043, 338, 3066]",3,!,word
144,"[168, 3090, 196, 3113]",3,EH,word
145,"[129, 3102, 133, 3115]",3,i,word
146,"[132, 3102, 139, 3115]",3,7,word
147,"[144, 3102, 152, 3115]",3,h,word
148,"[152, 3102, 155, 3115]",3,.,word
149,"[161, 3102, 193, 3115]",3,natte,word
150,"[128, 3116, 180, 3129]",3,UlLMlT,word
151,"[129, 3129, 133, 3142]",3,(,word
152,"[132, 3129, 139, 3142]",3,S,word
153,"[144, 3129, 151, 3142]",3,h,word
154,"[151, 3129, 154, 3142]",3,.,word
155,"[161, 3129, 181, 3142]",3,nlt,word
156,"[129, 3141, 133, 3155]",3,(,word
157,"[133, 3141, 194, 3155]",3,Maximum,word
158,"[129, 3153, 133, 3167]",3,',word
159,"[137, 3153, 184, 3167]",3,Mlnlmn,word
160,"[183, 3153, 190, 3167]",3,»,word
161,"[104, 3170, 128, 3184]",3,Plul,word
162,"[128, 3170, 132, 3184]",3,.,word
163,"[155, 3170, 158, 3184]",3,|,word
164,"[167, 3170, 175, 3184]",3,g,word
165,"[190, 3170, 194, 3184]",3,|,word
166,"[223, 3104, 230, 3118]",3,8,word
167,"[230, 3104, 233, 3118]",3,",",word
168,"[233, 3104, 240, 3118]",3,8,word
169,"[216, 3117, 230, 3130]",3,11,word
170,"[230, 3117, 234, 3130]",3,",",word
171,"[233, 3117, 240, 3130]",3,0,word
172,"[223, 3129, 230, 3143]",3,7,word
173,"[230, 3129, 233, 3143]",3,",",word
174,"[233, 3129, 240, 3143]",3,5,word
175,"[217, 3142, 230, 3156]",3,11,word
176,"[230, 3142, 233, 3156]",3,",",word
177,"[233, 3142, 240, 3156]",3,7,word
178,"[223, 3155, 230, 3169]",3,7,word
179,"[230, 3155, 233, 3169]",3,",",word
180,"[233, 3155, 240, 3169]",3,0,word
181,"[267, 3105, 275, 3120]",3,7,word
182,"[274, 3105, 278, 3120]",3,",",word
183,"[277, 3105, 291, 3120]",3,21,word
184,"[267, 3120, 274, 3131]",3,8,word
185,"[273, 3120, 276, 3131]",3,",",word
186,"[276, 3120, 283, 3131]",3,2,word
187,"[267, 3133, 273, 3144]",3,6,word
188,"[273, 3133, 276, 3144]",3,",",word
189,"[276, 3133, 282, 3144]",3,0,word
190,"[261, 3145, 273, 3156]",3,10,word
191,"[273, 3145, 276, 3156]",3,",",word
192,"[276, 3145, 283, 3156]",3,0,word
193,"[267, 3158, 274, 3169]",3,6,word
194,"[274, 3158, 277, 3169]",3,",",word
195,"[277, 3158, 284, 3169]",3,0,word
196,"[284, 3158, 287, 3169]",3,|,word
197,"[312, 3107, 319, 3118]",3,4,word
198,"[319, 3107, 322, 3118]",3,.,word
199,"[322, 3107, 328, 3118]",3,8,word
200,"[313, 3119, 319, 3130]",3,«,word
201,"[319, 3119, 322, 3130]",3,",",word
