,coords,page_no,token,type
0,"[173, 407, 224, 426]",1,PRIX,word
1,"[238, 407, 252, 426]",1,D,word
2,"[252, 407, 258, 426]",1,',word
3,"[258, 407, 406, 426]",1,ABONNEMENT,word
4,"[292, 432, 309, 451]",1,Un,word
5,"[313, 432, 328, 451]",1,in,word
6,"[368, 432, 378, 451]",1,S,word
7,"[382, 432, 409, 451]",1,noii,word
8,"[444, 432, 450, 451]",1,i,word
9,"[456, 432, 482, 451]",1,util,word
10,"[99, 456, 165, 475]",1,Suisse,word
11,"[165, 456, 173, 475]",1,.,word
12,"[173, 456, 180, 475]",1,.,word
13,"[180, 456, 188, 475]",1,.,word
14,"[188, 456, 192, 475]",1,.,word
15,"[195, 456, 200, 475]",1,.,word
16,"[282, 456, 303, 475]",1,Fr,word
17,"[303, 456, 308, 475]",1,.,word
18,"[318, 456, 338, 475]",1,20,word
19,"[366, 456, 386, 475]",1,10,word
20,"[396, 456, 416, 475]",1,50,word
21,"[443, 456, 453, 475]",1,5,word
22,"[463, 456, 483, 475]",1,50,word
23,"[99, 479, 148, 498]",1,Union,word
24,"[155, 479, 215, 498]",1,postale,word
25,"[293, 479, 303, 498]",1,»,word
26,"[319, 479, 339, 498]",1,36,word
27,"[367, 479, 387, 498]",1,18,word
28,"[396, 479, 416, 498]",1,50,word
29,"[443, 479, 453, 498]",1,9,word
30,"[463, 479, 483, 498]",1,50,word
31,"[144, 501, 179, 520]",1,Prix,word
32,"[195, 501, 216, 520]",1,du,word
33,"[228, 501, 291, 520]",1,numéro,word
34,"[291, 501, 298, 520]",1,:,word
35,"[315, 501, 336, 520]",1,10,word
36,"[349, 501, 433, 520]",1,centimes,word
37,"[435, 501, 440, 520]",1,.,word
0,"[65, 375, 544, 531]",1,,region
