,coords,page_no,token,type
0,"[2027, 658, 2257, 700]",2,CONFÉDÉRATION,word
1,"[2284, 658, 2381, 700]",2,SUISSE,word
2,"[2039, 725, 2119, 744]",2,Réceptions,word
3,"[2130, 725, 2201, 744]",2,officielles,word
4,"[2201, 725, 2206, 744]",2,.,word
5,"[2215, 725, 2238, 744]",2,—,word
6,"[2245, 725, 2277, 744]",2,Les,word
7,"[2283, 725, 2363, 744]",2,réceptions,word
8,"[2370, 725, 2392, 744]",2,du,word
9,"[2019, 743, 2079, 762]",2,premier,word
10,"[2087, 743, 2105, 762]",2,de,word
11,"[2117, 743, 2123, 762]",2,l,word
12,"[2123, 743, 2127, 762]",2,',word
13,"[2126, 743, 2148, 762]",2,an,word
14,"[2156, 743, 2180, 762]",2,ont,word
15,"[2187, 743, 2209, 762]",2,eu,word
16,"[2213, 743, 2241, 762]",2,lieu,word
17,"[2248, 743, 2259, 762]",2,à,word
18,"[2264, 743, 2310, 762]",2,Berne,word
19,"[2310, 743, 2315, 762]",2,",",word
20,"[2323, 743, 2363, 762]",2,luudi,word
21,"[2363, 743, 2368, 762]",2,",",word
22,"[2372, 743, 2393, 762]",2,de,word
23,"[2019, 762, 2032, 781]",2,la,word
24,"[2040, 762, 2102, 781]",2,manière,word
25,"[2109, 762, 2201, 781]",2,accoutumée,word
26,"[2201, 762, 2206, 781]",2,.,word
27,"[2039, 781, 2067, 800]",2,Dès,word
28,"[2073, 781, 2098, 800]",2,dix,word
29,"[2105, 781, 2157, 800]",2,heures,word
30,"[2157, 781, 2162, 800]",2,",",word
31,"[2175, 781, 2200, 800]",2,les,word
32,"[2209, 781, 2314, 800]",2,représentants,word
33,"[2327, 781, 2352, 800]",2,des,word
34,"[2358, 781, 2387, 800]",2,gou,word
35,"[2386, 781, 2393, 800]",2,-,word
36,"[2019, 800, 2109, 819]",2,vernements,word
37,"[2122, 800, 2186, 819]",2,étranger,word
38,"[2186, 800, 2194, 819]",2,s,word
39,"[2202, 800, 2226, 819]",2,ont,word
40,"[2233, 800, 2352, 819]",2,successivement,word
41,"[2360, 800, 2385, 819]",2,pré,word
42,"[2386, 800, 2392, 819]",2,-,word
43,"[2020, 819, 2051, 838]",2,sent,word
44,"[2051, 819, 2060, 838]",2,é,word
45,"[2073, 819, 2111, 838]",2,leurs,word
46,"[2125, 819, 2214, 838]",2,félicitations,word
47,"[2229, 819, 2251, 838]",2,au,word
48,"[2261, 819, 2333, 838]",2,président,word
49,"[2346, 819, 2367, 838]",2,de,word
50,"[2377, 819, 2393, 838]",2,la,word
51,"[2020, 837, 2128, 856]",2,Confédération,word
52,"[2127, 837, 2132, 856]",2,.,word
53,"[2141, 837, 2155, 856]",2,A,word
54,"[2160, 837, 2195, 856]",2,onze,word
55,"[2202, 837, 2255, 856]",2,heures,word
56,"[2255, 837, 2260, 856]",2,",",word
57,"[2267, 837, 2292, 856]",2,les,word
58,"[2295, 837, 2366, 856]",2,membres,word
59,"[2373, 837, 2396, 856]",2,du,word
60,"[2021, 856, 2132, 875]",2,gouvernement,word
61,"[2147, 856, 2204, 875]",2,bernois,word
62,"[2218, 856, 2235, 875]",2,et,word
63,"[2246, 856, 2271, 875]",2,les,word
64,"[2278, 856, 2346, 875]",2,autorités,word
65,"[2357, 856, 2378, 875]",2,de,word
66,"[2386, 856, 2402, 875]",2,la,word
67,"[2020, 875, 2054, 894]",2,ville,word
68,"[2061, 875, 2079, 894]",2,de,word
69,"[2085, 875, 2130, 894]",2,Berne,word
70,"[2137, 875, 2169, 894]",2,sont,word
71,"[2175, 875, 2221, 894]",2,venus,word
72,"[2228, 875, 2237, 894]",2,à,word
73,"[2241, 875, 2271, 894]",2,leur,word
74,"[2278, 875, 2310, 894]",2,tour,word
75,"[2316, 875, 2335, 894]",2,au,word
76,"[2341, 875, 2388, 894]",2,Palais,word
77,"[2388, 875, 2393, 894]",2,",",word
78,"[2021, 894, 2056, 913]",2,dans,word
79,"[2063, 894, 2097, 913]",2,trois,word
80,"[2104, 894, 2167, 913]",2,voitures,word
81,"[2176, 894, 2187, 913]",2,à,word
82,"[2191, 894, 2228, 913]",2,deux,word
83,"[2236, 894, 2301, 913]",2,chevaux,word
84,"[2300, 894, 2305, 913]",2,",",word
85,"[2313, 894, 2348, 913]",2,avec,word
86,"[2355, 894, 2393, 913]",2,leurs,word
87,"[2020, 912, 2091, 931]",2,huissiers,word
88,"[2091, 912, 2096, 931]",2,.,word
89,"[2104, 912, 2143, 931]",2,Cette,word
90,"[2149, 912, 2220, 931]",2,réception,word
91,"[2228, 912, 2239, 931]",2,a,word
92,"[2243, 912, 2294, 931]",2,termin,word
93,"[2294, 912, 2303, 931]",2,é,word
94,"[2311, 912, 2327, 931]",2,la,word
95,"[2332, 912, 2392, 931]",2,cérémo,word
96,"[2393, 912, 2399, 931]",2,-,word
97,"[2021, 931, 2044, 950]",2,nie,word
98,"[2052, 931, 2068, 950]",2,et,word
99,"[2072, 931, 2083, 950]",2,à,word
100,"[2087, 931, 2106, 950]",2,11,word
101,"[2112, 931, 2124, 950]",2,h,word
102,"[2124, 931, 2130, 950]",2,.,word
103,"[2136, 931, 2147, 950]",2,1,word
104,"[2147, 931, 2153, 950]",2,/,word
105,"[2152, 931, 2164, 950]",2,2,word
106,"[2164, 931, 2169, 950]",2,",",word
107,"[2174, 931, 2190, 950]",2,le,word
108,"[2194, 931, 2265, 950]",2,président,word
