,coords,page_no,token,type
0,"[2126, 388, 2176, 407]",1,PRIX,word
1,"[2188, 388, 2234, 407]",1,DES,word
2,"[2242, 388, 2357, 407]",1,ANNONCES,word
3,"[2050, 409, 2092, 428]",1,Pour,word
4,"[2100, 409, 2117, 428]",1,la,word
5,"[2123, 409, 2180, 428]",1,Suisse,word
6,"[2181, 409, 2186, 428]",1,.,word
7,"[2192, 409, 2200, 428]",1,„,word
8,"[2199, 409, 2208, 428]",1,„,word
9,"[2228, 409, 2248, 428]",1,25,word
10,"[2254, 409, 2331, 428]",1,centimes,word
11,"[2345, 409, 2352, 428]",1,],word
12,"[2367, 409, 2407, 428]",1,UBgn,word
13,"[2405, 409, 2422, 428]",1,%,word
14,"[2050, 431, 2091, 450]",1,Pour,word
15,"[2103, 431, 2110, 450]",1,l,word
16,"[2110, 431, 2115, 450]",1,',word
17,"[2115, 431, 2191, 450]",1,étranger,word
18,"[2191, 431, 2196, 450]",1,.,word
19,"[2198, 431, 2203, 450]",1,.,word
20,"[2227, 431, 2247, 450]",1,80,word
21,"[2255, 431, 2333, 450]",1,centimes,word
22,"[2049, 456, 2136, 470]",1,RÉCLAMES,word
23,"[2237, 452, 2249, 471]",1,1,word
24,"[2256, 452, 2300, 471]",1,franc,word
25,"[2386, 427, 2405, 446]",1,ou,word
26,"[2357, 442, 2383, 461]",1,son,word
27,"[2387, 442, 2432, 461]",1,espaet,word
28,"[2362, 458, 2368, 477]",1,(,word
29,"[2367, 458, 2407, 477]",1,corps,word
30,"[2413, 458, 2423, 477]",1,7,word
31,"[2421, 458, 2428, 477]",1,),word
32,"[2427, 458, 2432, 477]",1,.,word
33,"[2050, 493, 2095, 512]",1,Toute,word
34,"[2100, 493, 2142, 512]",1,lettre,word
35,"[2148, 493, 2164, 512]",1,et,word
36,"[2168, 493, 2199, 512]",1,tout,word
37,"[2206, 493, 2248, 512]",1,envoi,word
38,"[2252, 493, 2310, 512]",1,doivent,word
39,"[2316, 493, 2343, 512]",1,tire,word
40,"[2348, 493, 2429, 512]",1,affranchis,word
41,"[2429, 493, 2434, 512]",1,.,word
0,"[1908, 365, 2452, 507]",1,,region
