,coords,page_no,token,type
0,"[168, 397, 217, 416]",1,PRIX,word
1,"[231, 397, 246, 416]",1,D,word
2,"[246, 397, 251, 416]",1,',word
3,"[251, 397, 392, 416]",1,ABONNEMENl,word
4,"[282, 424, 298, 438]",1,Ul,word
5,"[303, 424, 314, 438]",1,U,word
6,"[358, 424, 363, 438]",1,(,word
7,"[371, 424, 387, 438]",1,Bt,word
8,"[387, 424, 398, 438]",1,Û,word
9,"[434, 424, 438, 438]",1,I,word
10,"[447, 424, 471, 438]",1,Mit,word
11,"[90, 445, 144, 464]",1,Strisse,word
12,"[273, 445, 294, 464]",1,Fr,word
13,"[296, 445, 301, 464]",1,.,word
14,"[308, 445, 331, 464]",1,20,word
15,"[356, 445, 379, 464]",1,10,word
16,"[384, 445, 408, 464]",1,50,word
17,"[432, 445, 443, 464]",1,5,word
18,"[449, 445, 472, 464]",1,50,word
19,"[90, 467, 141, 486]",1,Union,word
20,"[149, 467, 208, 486]",1,postale,word
21,"[284, 467, 295, 486]",1,»,word
22,"[309, 467, 332, 486]",1,36,word
23,"[357, 467, 379, 486]",1,18,word
24,"[385, 467, 408, 486]",1,50,word
25,"[432, 467, 443, 486]",1,9,word
26,"[449, 467, 472, 486]",1,50,word
27,"[137, 489, 171, 508]",1,Prix,word
28,"[189, 489, 211, 508]",1,du,word
29,"[220, 489, 281, 508]",1,numéro,word
30,"[281, 489, 287, 508]",1,:,word
31,"[305, 489, 329, 508]",1,10,word
32,"[340, 489, 421, 508]",1,centimes,word
33,"[423, 489, 428, 508]",1,.,word
0,"[82, 365, 548, 507]",1,,region
