,coords,page_no,token,type
0,"[145, 577, 228, 601]",1,Lausanne,word
1,"[227, 577, 238, 601]",1,",",word
2,"[248, 577, 265, 601]",1,2,word
3,"[270, 577, 341, 601]",1,janvier,word
4,"[346, 577, 394, 601]",1,1900,word
5,"[394, 577, 406, 601]",1,.,word
6,"[133, 648, 244, 680]",1,Regards,word
7,"[261, 648, 298, 680]",1,en,word
8,"[307, 648, 403, 680]",1,arrière,word
9,"[404, 648, 412, 680]",1,.,word
10,"[110, 697, 186, 716]",1,Supposez,word
11,"[195, 697, 218, 716]",1,un,word
12,"[223, 697, 314, 716]",1,dessinateur,word
13,"[324, 697, 374, 716]",1,install,word
14,"[374, 697, 383, 716]",1,é,word
15,"[393, 697, 414, 716]",1,au,word
16,"[421, 697, 454, 716]",1,coin,word
17,"[89, 718, 108, 737]",1,de,word
18,"[115, 718, 146, 737]",1,son,word
19,"[150, 718, 177, 737]",1,feu,word
20,"[183, 718, 231, 737]",1,tandis,word
21,"[238, 718, 267, 737]",1,que,word
22,"[276, 718, 293, 737]",1,la,word
23,"[299, 718, 366, 737]",1,dernière,word
24,"[378, 718, 427, 737]",1,bûche,word
25,"[433, 718, 454, 737]",1,de,word
26,"[88, 739, 94, 758]",1,l,word
27,"[94, 739, 98, 758]",1,',word
28,"[98, 739, 146, 758]",1,année,word
29,"[157, 739, 165, 758]",1,s,word
30,"[164, 739, 168, 758]",1,',word
31,"[167, 739, 242, 758]",1,effondrait,word
32,"[254, 739, 321, 758]",1,bleuâtre,word
33,"[336, 739, 377, 758]",1,entre,word
34,"[391, 739, 416, 758]",1,les,word
35,"[420, 739, 448, 758]",1,che,word
36,"[448, 739, 455, 758]",1,-,word
37,"[88, 760, 121, 779]",1,nets,word
38,"[122, 760, 127, 779]",1,.,word
39,"[137, 760, 213, 779]",1,Supposez,word
40,"[212, 760, 219, 779]",1,-,word
41,"[219, 760, 233, 779]",1,le,word
42,"[242, 760, 321, 779]",1,cherchant,word
43,"[332, 760, 342, 779]",1,à,word
44,"[357, 760, 454, 779]",1,personnifier,word
45,"[88, 781, 103, 800]",1,le,word
46,"[116, 781, 170, 800]",1,peuple,word
47,"[192, 781, 240, 800]",1,suisse,word
48,"[240, 781, 245, 800]",1,",",word
49,"[268, 781, 327, 800]",1,comme,word
50,"[346, 781, 356, 800]",1,d,word
51,"[356, 781, 360, 800]",1,',word
52,"[360, 781, 379, 800]",1,au,word
53,"[384, 781, 393, 800]",1,1,word
54,"[392, 781, 410, 800]",1,res,word
55,"[425, 781, 455, 800]",1,ont,word
56,"[88, 802, 137, 821]",1,évoqu,word
57,"[137, 802, 146, 821]",1,é,word
58,"[154, 802, 175, 821]",1,en,word
59,"[182, 802, 193, 821]",1,«,word
60,"[198, 802, 240, 821]",1,oncle,word
61,"[247, 802, 282, 821]",1,Sam,word
62,"[289, 802, 301, 821]",1,»,word
63,"[312, 802, 333, 821]",1,les,word
64,"[337, 802, 406, 821]",1,Yankees,word
65,"[406, 802, 411, 821]",1,",",word
66,"[424, 802, 448, 821]",1,ou,word
67,"[449, 802, 454, 821]",1,",",word
68,"[88, 823, 107, 842]",1,en,word
69,"[120, 823, 159, 842]",1,John,word
70,"[172, 823, 208, 842]",1,Bnll,word
71,"[208, 823, 213, 842]",1,",",word
72,"[229, 823, 245, 842]",1,la,word
73,"[256, 823, 306, 842]",1,nation,word
74,"[321, 823, 417, 842]",1,britannique,word
75,"[418, 823, 423, 842]",1,.,word
76,"[430, 823, 454, 842]",1,La,word
77,"[88, 845, 168, 864]",1,silhouette,word
78,"[184, 845, 261, 864]",1,découlant,word
79,"[270, 845, 291, 864]",1,de,word
80,"[303, 845, 319, 864]",1,la,word
81,"[332, 845, 382, 864]",1,pointe,word
82,"[394, 845, 415, 864]",1,de,word
83,"[423, 845, 454, 864]",1,son,word
84,"[88, 866, 143, 885]",1,crayon,word
85,"[156, 866, 204, 885]",1,aurait,word
86,"[211, 866, 225, 885]",1,ét,word
