,coords,page_no,token,type
0,"[2156, 573, 2240, 602]",1,LETTRE,word
1,"[2254, 573, 2289, 602]",1,DE,word
2,"[2296, 573, 2359, 602]",1,PARIS,word
3,"[2079, 621, 2096, 640]",1,91,word
4,"[2096, 621, 2101, 640]",1,.,word
5,"[2110, 621, 2188, 640]",1,Lavedan,word
6,"[2198, 621, 2208, 640]",1,à,word
7,"[2221, 621, 2228, 640]",1,l,word
8,"[2228, 621, 2233, 640]",1,',word
9,"[2233, 621, 2326, 640]",1,Académie,word
10,"[2326, 621, 2334, 640]",1,-,word
11,"[2334, 621, 2422, 640]",1,Française,word
12,"[2423, 621, 2428, 640]",1,.,word
13,"[2220, 648, 2263, 667]",1,Paris,word
14,"[2264, 648, 2269, 667]",1,",",word
15,"[2279, 648, 2302, 667]",1,29,word
16,"[2310, 648, 2390, 667]",1,décembre,word
17,"[2391, 648, 2396, 667]",1,.,word
18,"[2089, 669, 2171, 688]",1,Réception,word
19,"[2178, 669, 2213, 688]",1,bien,word
20,"[2224, 669, 2236, 688]",1,«,word
21,"[2240, 669, 2326, 688]",1,parisienne,word
22,"[2337, 669, 2348, 688]",1,»,word
23,"[2353, 669, 2362, 688]",1,s,word
24,"[2362, 669, 2366, 688]",1,',word
25,"[2366, 669, 2379, 688]",1,il,word
26,"[2384, 669, 2403, 688]",1,en,word
27,"[2407, 669, 2433, 688]",1,fut,word
28,"[2433, 669, 2439, 688]",1,",",word
29,"[2068, 690, 2099, 709]",1,que,word
30,"[2104, 690, 2142, 709]",1,celle,word
31,"[2150, 690, 2187, 709]",1,deM,word
32,"[2187, 690, 2192, 709]",1,.,word
33,"[2197, 690, 2267, 709]",1,Lavedan,word
34,"[2268, 690, 2273, 709]",1,.,word
35,"[2282, 690, 2295, 709]",1,L,word
36,"[2295, 690, 2299, 709]",1,',word
37,"[2299, 690, 2353, 709]",1,auteur,word
38,"[2359, 690, 2369, 709]",1,d,word
39,"[2369, 690, 2379, 709]",1,û,word
40,"[2386, 690, 2439, 709]",1,Prince,word
41,"[2068, 711, 2078, 730]",1,d,word
42,"[2078, 711, 2082, 730]",1,',word
43,"[2082, 711, 2130, 730]",1,Aurec,word
44,"[2136, 711, 2158, 730]",1,est,word
45,"[2162, 711, 2183, 730]",1,un,word
46,"[2189, 711, 2255, 730]",1,Parisien,word
47,"[2262, 711, 2290, 730]",1,pur,word
48,"[2295, 711, 2333, 730]",1,sang,word
49,"[2333, 711, 2338, 730]",1,",",word
50,"[2342, 711, 2392, 730]",1,moins,word
51,"[2396, 711, 2432, 730]",1,peut,word
52,"[2433, 711, 2439, 730]",1,-,word
53,"[2069, 732, 2090, 751]",1,êtr,word
54,"[2091, 732, 2099, 751]",1,e,word
55,"[2107, 732, 2178, 751]",1,pourtant,word
56,"[2196, 732, 2231, 751]",1,que,word
57,"[2240, 732, 2271, 751]",1,son,word
58,"[2277, 732, 2383, 751]",1,prédécesseur,word
59,"[2396, 732, 2433, 751]",1,Meil,word
60,"[2433, 732, 2440, 751]",1,-,word
61,"[2069, 753, 2094, 772]",1,hac,word
62,"[2095, 753, 2099, 772]",1,",",word
63,"[2111, 753, 2148, 772]",1,dont,word
64,"[2160, 753, 2165, 772]",1,l,word
65,"[2165, 753, 2169, 772]",1,',word
66,"[2169, 753, 2231, 772]",1,horizon,word
67,"[2247, 753, 2269, 772]",1,ne,word
68,"[2281, 753, 2344, 772]",1,dépassa,word
69,"[2358, 753, 2413, 772]",1,jamais,word
70,"[2423, 753, 2439, 772]",1,la,word
71,"[2069, 774, 2109, 793]",1,ligne,word
72,"[2126, 774, 2156, 793]",1,des,word
73,"[2168, 774, 2223, 793]",1,grands,word
74,"[2240, 774, 2332, 793]",1,boulevards,word
75,"[2332, 774, 2337, 793]",1,.,word
76,"[2354, 774, 2391, 793]",1,Seul,word
77,"[2392, 774, 2397, 793]",1,",",word
78,"[2414, 774, 2434, 793]",1,M,word
79,"[2433, 774, 2439, 793]",1,.,word
80,"[2069, 796, 2113, 815]",1,Costa,word
81,"[2123, 796, 2145, 815]",1,de,word
82,"[2150, 796, 2244, 815]",1,Beauregard,word
83,"[2253, 796, 2278, 815]",1,est,word
84,"[2283, 796, 2304, 815]",1,de,word
85,"[2309, 796, 2327, 815]",1,sa,word
86,"[2336, 796, 2408, 815]",1,province,word
87,"[2409, 796, 2414, 815]",1,",",word
88,"[2420, 796, 2440, 815]",1,ce,word
89,"[2069, 817, 2096, 836]",1,qui,word
90,"[2103, 817, 2114, 836]",1,n,word
91,"[2114, 817, 2118, 836]",1,',word
92,"[2118, 817, 2141, 836]",1,est,word
93,"[2151, 817, 2182, 836]",1,pas,word
94,"[2186, 817, 2210, 836]",1,un,word
95,"[2220, 817, 2268, 836]",1,crime,word
96,"[2268, 817, 2273, 836]",1,",",word
97,"[2289, 817, 2328, 836]",1,mais,word
98,"[2343, 817, 2363, 836]",1,ce,word
99,"[2375, 817, 2405, 836]",1,qui,word
100,"[2414, 817, 2439, 836]",1,est,word
101,"[2068, 838, 2125, 857]",1,parfois,word
102,"[2132, 838, 2156, 857]",1,un,word
103,"[2162, 838, 2197, 857]",1,gros,word
104,"[2205, 838, 2283, 857]",1,embarras,word
105,"[2283, 838, 2288, 857]",1,",",word
106,"[2297, 838, 2349, 857]",1,quand,word
107,"[2354, 838, 2374, 857]",1,on,word
108,"[2380, 838, 2396, 857]",1,se,word
109,"[2402, 838, 2439, 857]",1,croit,word
110,"[2069, 859, 2110, 878]",1,oblig,word
111,"[2110, 859, 2119, 878]",1,é,word
112,"[2127, 859, 2137, 878]",1,à,word
113,"[2144, 859, 2180, 878]",1,faire,word
114,"[2189, 859, 2205, 878]",1,le,word
115,"[2220, 859, 2266, 878]",1,badin,word
116,"[2267, 859, 2272, 878]",1,.,word
117,"[2288, 859, 2323, 878]",1,Son,word
118,"[2335, 859, 2404, 878]",1,discours,word
119,"[2418, 859, 2440, 878]",1,de,word
120,"[2069, 880, 2152, 899]",1,bienvenue,word
121,"[2160, 880, 2169, 899]",1,s,word
122,"[2169, 880, 2173, 899]",1,',word
123,"[2173, 880, 2195, 899]",1,en,word
124,"[2202, 880, 2227, 899]",1,est,word
125,"[2232, 880, 2310, 899]",1,fortement,word
126,"[2327, 880, 2390, 899]",1,ressenti,word
127,"[2391, 880, 2396, 899]",1,",",word
128,"[2404, 880, 2421, 899]",1,et,word
129,"[2427, 880, 2440, 899]",1,il,word
130,"[2069, 901, 2078, 920]",1,a,word
131,"[2088, 901, 2125, 920]",1,dans,word
132,"[2126, 901, 2135, 920]",1,é,word
133,"[2142, 901, 2166, 920]",1,un,word
134,"[2170, 901, 2197, 920]",1,pas,word
135,"[2205, 901, 2216, 920]",1,d,word
136,"[2216, 901, 2220, 920]",1,',word
137,"[2220, 901, 2286, 920]",1,opérette,word
138,"[2296, 901, 2332, 920]",1,avec,word
139,"[2340, 901, 2371, 920]",1,des,word
140,"[2385, 901, 2440, 920]",1,allures,word
141,"[2069, 922, 2088, 941]",1,de,word
142,"[2097, 922, 2174, 941]",1,Savoyard,word
143,"[2174, 922, 2179, 941]",1,.,word
144,"[2090, 945, 2108, 964]",1,M,word
145,"[2107, 945, 2112, 964]",1,.,word
146,"[2121, 945, 2165, 964]",1,Costa,word
147,"[2179, 945, 2200, 964]",1,de,word
148,"[2211, 945, 2306, 964]",1,Beauregard,word
149,"[2306, 945, 2311, 964]",1,",",word
150,"[2330, 945, 2404, 964]",1,directeur,word
151,"[2418, 945, 2440, 964]",1,de,word
152,"[2069, 966, 2075, 985]",1,l,word
153,"[2075, 966, 2078, 985]",1,',word
