,coords,page_no,token,type
0,"[2107, 1269, 2120, 1288]",3,11,word
1,"[2126, 1269, 2136, 1288]",3,n,word
2,"[2136, 1269, 2139, 1288]",3,',word
3,"[2139, 1269, 2149, 1288]",3,y,word
4,"[2156, 1269, 2165, 1288]",3,a,word
5,"[2174, 1269, 2214, 1288]",3,guère,word
6,"[2225, 1269, 2243, 1288]",3,de,word
7,"[2253, 1269, 2288, 1288]",3,mots,word
8,"[2297, 1269, 2315, 1288]",3,en,word
9,"[2326, 1269, 2381, 1288]",3,français,word
10,"[2394, 1269, 2417, 1288]",3,qui,word
11,"[2429, 1269, 2464, 1288]",3,aient,word
12,"[2091, 1286, 2127, 1305]",3,donn,word
13,"[2126, 1286, 2135, 1305]",3,é,word
14,"[2142, 1286, 2209, 1305]",3,naissance,word
15,"[2218, 1286, 2227, 1305]",3,à,word
16,"[2239, 1286, 2270, 1305]",3,plus,word
17,"[2282, 1286, 2300, 1305]",3,de,word
18,"[2313, 1286, 2378, 1305]",3,locutions,word
19,"[2389, 1286, 2461, 1305]",3,familières,word
20,"[2460, 1286, 2465, 1305]",3,",",word
21,"[2091, 1303, 2109, 1322]",3,de,word
22,"[2112, 1303, 2160, 1322]",3,jurons,word
23,"[2167, 1303, 2180, 1322]",3,et,word
24,"[2186, 1303, 2204, 1322]",3,de,word
25,"[2208, 1303, 2280, 1322]",3,proverbes,word
26,"[2287, 1303, 2313, 1322]",3,que,word
27,"[2318, 1303, 2332, 1322]",3,le,word
28,"[2343, 1303, 2371, 1322]",3,mot,word
29,"[2382, 1303, 2430, 1322]",3,Diable,word
30,"[2436, 1303, 2441, 1322]",3,:,word
31,"[2448, 1303, 2468, 1322]",3,Le,word
32,"[2090, 1320, 2161, 1339]",3,Nouveau,word
33,"[2167, 1320, 2240, 1339]",3,Larousse,word
34,"[2246, 1320, 2302, 1339]",3,illustré,word
35,"[2310, 1320, 2327, 1339]",3,en,word
36,"[2332, 1320, 2358, 1339]",3,cite,word
37,"[2363, 1320, 2400, 1339]",3,toute,word
38,"[2404, 1320, 2431, 1339]",3,une,word
39,"[2436, 1320, 2476, 1339]",3,colon,word
40,"[2090, 1337, 2104, 1356]",3,ne,word
41,"[2110, 1337, 2144, 1356]",3,dans,word
42,"[2148, 1337, 2167, 1356]",3,son,word
43,"[2175, 1337, 2236, 1356]",3,fascicule,word
44,"[2243, 1337, 2258, 1356]",3,de,word
45,"[2264, 1337, 2298, 1356]",3,cette,word
46,"[2303, 1337, 2362, 1356]",3,semaine,word
47,"[2361, 1337, 2366, 1356]",3,.,word
48,"[2370, 1337, 2379, 1356]",3,Il,word
49,"[2385, 1337, 2429, 1356]",3,donne,word
50,"[2434, 1337, 2471, 1356]",3,aussi,word
51,"[2090, 1353, 2095, 1372]",3,l,word
52,"[2095, 1353, 2098, 1372]",3,',word
53,"[2097, 1353, 2180, 1372]",3,ênumôratio,word
