,coords,page_no,token,type
0,"[557, 738, 816, 777]",3,LAUSANNE,word
1,"[521, 795, 554, 814]",3,Des,word
2,"[561, 795, 669, 814]",3,réparations,word
3,"[678, 795, 688, 814]",3,a,word
4,"[696, 795, 726, 814]",3,nos,word
5,"[733, 795, 821, 814]",3,machines,word
6,"[832, 795, 875, 814]",3,nous,word
7,"[504, 814, 540, 833]",3,font,word
8,"[559, 814, 626, 833]",3,prévoir,word
9,"[648, 814, 729, 833]",3,quelques,word
10,"[754, 814, 870, 833]",3,Irrégularités,word
11,"[504, 834, 546, 853]",3,dans,word
12,"[554, 834, 562, 853]",3,l,word
13,"[562, 834, 567, 853]",3,',word
14,"[567, 834, 665, 853]",3,expédition,word
15,"[675, 834, 695, 853]",3,de,word
16,"[703, 834, 734, 853]",3,nos,word
17,"[741, 834, 806, 853]",3,édition,word
18,"[808, 834, 815, 853]",3,s,word
19,"[827, 834, 839, 853]",3,d,word
20,"[839, 834, 844, 853]",3,',word
21,"[844, 834, 864, 853]",3,au,word
22,"[866, 834, 872, 853]",3,-,word
23,"[501, 853, 554, 872]",3,jourd,word
24,"[554, 853, 560, 872]",3,',word
25,"[560, 853, 590, 872]",3,hui,word
26,"[597, 853, 613, 872]",3,et,word
27,"[624, 853, 653, 872]",3,des,word
28,"[666, 853, 749, 872]",3,premiers,word
29,"[759, 853, 807, 872]",3,jours,word
30,"[821, 853, 842, 872]",3,de,word
31,"[856, 853, 873, 872]",3,la,word
32,"[503, 872, 578, 891]",3,semaine,word
33,"[519, 892, 564, 911]",3,IVous,word
34,"[569, 892, 628, 911]",3,prions,word
35,"[636, 892, 667, 911]",3,nos,word
36,"[675, 892, 748, 911]",3,lecteurs,word
37,"[756, 892, 777, 911]",3,de,word
38,"[783, 892, 822, 911]",3,bien,word
39,"[834, 892, 866, 911]",3,vou,word
40,"[867, 892, 874, 911]",3,-,word
41,"[502, 911, 535, 930]",3,loir,word
42,"[542, 911, 567, 930]",3,les,word
43,"[579, 911, 648, 930]",3,excuser,word
44,"[650, 911, 655, 930]",3,.,word
45,"[519, 930, 563, 949]",3,Nous,word
46,"[571, 930, 627, 949]",3,ferons,word
47,"[636, 930, 656, 949]",3,de,word
48,"[662, 930, 711, 949]",3,notre,word
49,"[716, 930, 772, 949]",3,mieux,word
50,"[779, 930, 821, 949]",3,pour,word
51,"[830, 930, 865, 949]",3,atté,word
52,"[867, 930, 873, 949]",3,-,word
53,"[502, 949, 543, 968]",3,nuer,word
54,"[551, 949, 567, 968]",3,le,word
