,coords,page_no,token,type
0,"[424, 145, 481, 164]",2,cadeau,word
1,"[490, 145, 509, 164]",2,de,word
2,"[515, 145, 573, 164]",2,Nouvel,word
3,"[573, 145, 580, 164]",2,-,word
4,"[580, 145, 604, 164]",2,An,word
5,"[612, 145, 642, 164]",2,que,word
6,"[651, 145, 678, 164]",2,les,word
7,"[682, 145, 764, 164]",2,Chambres,word
8,"[770, 145, 788, 164]",2,fé,word
9,"[788, 145, 796, 164]",2,-,word
10,"[424, 166, 483, 185]",2,dérales,word
11,"[491, 166, 517, 185]",2,ont,word
12,"[524, 166, 550, 185]",2,fait,word
13,"[558, 166, 580, 185]",2,au,word
14,"[584, 166, 640, 185]",2,peuple,word
15,"[650, 166, 699, 185]",2,suisse,word
16,"[699, 166, 704, 185]",2,.,word
17,"[445, 187, 495, 206]",2,Quant,word
18,"[505, 187, 540, 206]",2,aux,word
19,"[550, 187, 616, 206]",2,paysans,word
20,"[617, 187, 622, 206]",2,",",word
21,"[636, 187, 663, 206]",2,les,word
22,"[671, 187, 729, 206]",2,apôtres,word
23,"[739, 187, 761, 206]",2,de,word
24,"[766, 187, 772, 206]",2,l,word
25,"[772, 187, 776, 206]",2,',word
26,"[776, 187, 793, 206]",2,as,word
27,"[794, 187, 800, 206]",2,-,word
28,"[425, 209, 488, 228]",2,surance,word
29,"[504, 209, 573, 228]",2,officielle,word
30,"[573, 209, 578, 228]",2,",",word
31,"[595, 209, 621, 228]",2,les,word
32,"[636, 209, 667, 228]",2,ont,word
33,"[683, 209, 743, 228]",2,trouvés,word
34,"[764, 209, 796, 228]",2,tout,word
35,"[425, 230, 520, 249]",2,simplement,word
36,"[534, 230, 628, 249]",2,intraitables,word
37,"[628, 230, 633, 249]",2,.,word
38,"[645, 230, 763, 249]",2,Spontanément,word
39,"[763, 230, 769, 249]",2,",",word
40,"[769, 230, 796, 249]",2,des,word
41,"[425, 251, 514, 270]",2,communes,word
42,"[521, 251, 579, 270]",2,rurales,word
43,"[587, 251, 664, 270]",2,bernoises,word
44,"[671, 251, 695, 270]",2,ou,word
45,"[706, 251, 797, 270]",2,zurichoises,word
46,"[426, 272, 452, 291]",2,ont,word
47,"[462, 272, 518, 291]",2,réclam,word
48,"[518, 272, 527, 291]",2,é,word
49,"[535, 272, 557, 291]",2,les,word
50,"[564, 272, 606, 291]",2,listes,word
51,"[615, 272, 637, 291]",2,de,word
52,"[642, 272, 737, 291]",2,référendum,word
53,"[749, 272, 770, 291]",2,qu,word
54,"[770, 272, 774, 291]",2,',word
55,"[774, 272, 795, 291]",2,on,word
