Type de notice	Titre propre-Titre collection-date de diffusion-Chaine de diffusion-Heure de diffusion-Notice-Date de diffusion	Identifiant notice	Fichier source	Nom du fichier	TC IN	TC OUT	Format	Répertoire	Chemin
EMISSION RAD.	Titre: Les evenements de Grece - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:26/08/1948 - Chaine:Radio diffusion francaise - Heure:19:00:00 comment= notice PHD99272604 26/08/1948	PHD99272604	LO16860_01.MP3	PHD99272604_LO16860_01_0_183618_EXPORT.MP3	00:00:00:00	00:18:36:18	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: La situation economique francaise - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:06/09/1948 - Chaine:Radio diffusion francaise comment= notice PHD99272605 06/09/1948	PHD99272605	LO16862_01.MP3	PHD99272605_LO16862_01___EXPORT.MP3	:::	:::	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: La Yougoslavie de TITO - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:17/08/1948 - Chaine:Radio diffusion francaise comment= notice PHD99272607 17/08/1948	PHD99272607	LO16819_01.MP3	PHD99272607_LO16819_01___EXPORT.MP3	:::	:::	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: Monsieur Thiers - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:28/09/1948 - Chaine:Radio diffusion francaise comment= notice PHD99272608 28/09/1948	PHD99272608	LO15061_01.MP3	PHD99272608_LO15061_01___EXPORT.MP3	:::	:::	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: 3eme session de l'Assemblee Generale des Nations Unies a Paris - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:23/09/1948 - Chaine:Radio diffusion francaise comment= notice PHD99272609 23/09/1948	PHD99272609	LO16796_01.MP3	PHD99272609_LO16796_01___EXPORT.MP3	:::	:::	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: Les greves  les speculations - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:15/10/1948 - Chaine:Radio diffusion francaise comment= notice PHD99272611 15/10/1948	PHD99272611	LO18279_01.MP3	PHD99272611_LO18279_01___EXPORT.MP3	:::	:::	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: La vie en Espagne - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:26/11/1948 - Chaine:Radio diffusion francaise comment= notice PHD99272614 26/11/1948	PHD99272614	LO18582_01.MP3	PHD99272614_LO18582_01___EXPORT.MP3	:::	:::	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: La productivite : 1/2 - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:29/11/1948 - Chaine:Radio diffusion francaise comment= notice PHD99272615 29/11/1948	PHD99272615	LO18583_01.MP3	PHD99272615_LO18583_01_0_173817_EXPORT.MP3	00:00:00:00	00:17:38:17	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: La productivite : 2/2 - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:06/12/1948 - Chaine:Radio diffusion francaise comment= notice PHD99272616 06/12/1948	PHD99272616	LO18093_01.MP3	PHD99272616_LO18093_01_0_181305_EXPORT.MP3	00:00:00:00	00:18:13:05	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
EMISSION RAD.	Titre: Les roles a succes au theatre - Titre collection:Tribune de Paris : Les hommes  les evenements  les idees a l'ordre du jour - Date:04/12/1948 - Chaine:Radio diffusion francaise comment= notice PHD99272617 04/12/1948	PHD99272617	LO15150_01.MP3	PHD99272617_LO15150_01___EXPORT.MP3	:::	:::	FVISIO	08-Tribune de Paris 1946-1963	iMPRESSO\Journal_parle\08-Tribune_de_Paris_1946-1963
