,Collection name,Journal Name,Start Year (in Scriptorium),End Year (in Scriptorium),Number of issues,"@TeamHistory, please express your interest 👇",Data Category for Data Sharing Agreement,Data Acquisition Batch,Data Transfer Batch (what has been transfered with hard disk),Extension of mit file,Impresso 1,Formula (if title in B was already in previous sheet),Question/Notes
149,Presse de la Vallée de Joux,Le Messager,1879,1881,91,medium,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),JSON (not API),,No,
177,Presse de l'Est vaudois,Le Messager des Alpes,1864,1992,16336,high,Category 2 - existing agreement,Batch 2 – partly public,To add later,,,No,
51,Journaux satiriques vaudois,Le Moniteur,1879,1880,15,medium,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),XML (needs API),55,Le Moniteur,
52,Journaux satiriques vaudois,Le Moustique (Lausanne),1912,1914,34,medium,Category 1.5 - Orphan,Batch 1.5,Batch 3 (12/24),,56?,No,"oui, certainement 56"
53,Journaux satiriques vaudois,Le Moustique (Vevey),1887,1887,1,medium,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),No OCR XML files,56?,No,"oui, certainement 56"
86,Nouvelliste vaudois,Le Nouvelliste vaudois,1824,1855,3699,high,Category 1 – public domain,Batch 1 – public domain,Batch 2 (26/02/24),,57,Le Nouvelliste vaudois,
54,Journaux satiriques vaudois,Le Ouistiti,1882,1882,2,medium,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),XML (needs API),58,Le Ouistiti,
55,Journaux satiriques vaudois,Le Passe-Temps,1901,1901,4,medium,Category 1.5 - Orphan,Batch 1.5,Batch 3 (12/24),,59,Le Passe-Temps,
75,Le pays vaudois,Le pays vaudois,1922,2021,4898,high,Category 2 - existing agreement,Batch 3 – restricted,To add later,,,No,
56,Journaux satiriques vaudois,Le Père Jérôme,1831,1832,15,medium,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),XML (needs API),60,Le Père Jérôme,
139,Presse de la Côte vaudoise,Le Petit Paysan - Région Evasion,1982,1991,91,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
210,Presse socialiste,Le Peuple,1939,1965,7898,high,Category 3 - no agreement,Batch 3 – restricted,To add later,,,No,
199,Presse du Nord vaudois,Le Peuple / Le Nord vaudois 2,1885,1933,4815,high,Category 3 - no agreement,Batch 2 – partly public,To add later,,61,No,
200,Presse du Nord vaudois,Le Peuple souverain,1845,1846,12,medium,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),XML (needs API),,No,
140,Presse de la Côte vaudoise,Le Phare de Nyon,1841,1841,1,medium,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),No OCR XML files,,No,
141,Presse de la Côte vaudoise,Le Phare du Léman,1841,1842,26,medium,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),JSON (not API),,No,
58,Journaux satiriques vaudois,Le poisson déchaîné,1936,1936,1,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
178,Presse de l'Est vaudois,Le Progrès de Château d'Oex,1877,1940,5527,medium,Category 1.5 - Orphan,Batch 2 – partly public,Batch 3 (12/24),,,No,
142,Presse de la Côte vaudoise,Le Progrès de Morges,1907,1907,22,medium,Category 1.5 - Orphan,Batch 1.5,Batch 3 (12/24),,,No,
179,Presse de l'Est vaudois,Le Régional,1995,2020,997,medium,Category 2 - existing agreement,Batch 3 – restricted,To add later,,,No,
57,Journaux satiriques vaudois,Le Semeur,1991,1993,47,medium,Category 2 - existing agreement,Batch 3 – restricted,Batch 3 (12/24),,,No,
230,Presse religieuse,Le semeur vaudois,1880,1966,4438,high,Category 2 - existing agreement,Batch 2 – partly public,To add later,,,No,
79,Magazines illustrés vaudois,Le Touriste / La Suisse Illustrée,1866,1882,708,high,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),JSON (not API),36 et 62,No,oui
180,Presse de l'Est vaudois,Le Veveysan 1,1888,1889,50,medium,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),JSON (not API),63,No,
181,Presse de l'Est vaudois,Le Veveysan 2,1935,1945,56,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,64,No,
182,Presse de l'Est vaudois,Les Alpes vaudoises,1914,1920,24,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
183,Presse de l'Est vaudois,Liste des étrangers de Bex,1900,1912,131,medium,Category 1.5 - Orphan,Batch 1.5,Batch 3 (12/24),,,No,
61,Journaux satiriques vaudois,Mépris,1973,1974,3,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
18,Gazettes suisses du 18e s.,Mercure suisse,1732,1747,181,high,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),XML (needs API),,No,
7,Almanachs vaudois,Messager boîteux,1748,1800,53,medium,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),XML (needs API),,No,
184,Presse de l'Est vaudois,Messager de Montreux,1904,1936,9521,high,Category 1.5 - Orphan,Batch 3 – restricted,Bath 4 (08/25),,,No,
143,Presse de la Côte vaudoise,Morges actualité - Morges Hebdo,1973,1987,998,high,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
217,Revue de Lausanne,Nouvelle revue,2005,2012,72,high,,Batch 3 – restricted,Batch 3 (12/24),,72?,No,
218,Revue de Lausanne,Nouvelle revue de Lausanne,1946,1990,13180,high,,Batch 3 – restricted,To add later,,72,No,
219,Revue de Lausanne,Nouvelle revue de Lausanne et du Pays de Vaud,1990,1991,486,high,,Batch 3 – restricted,Batch 3 (12/24),,72?,No,
220,Revue de Lausanne,Nouvelle revue et journal politique,1994,2005,190,high,,Batch 3 – restricted,To add later,,72?,No,
221,Revue de Lausanne,Nouvelle revue hebdo,1991,1994,150,high,,Batch 3 – restricted,Batch 3 (12/24),,,No,
19,Gazettes suisses du 18e s.,Nouvelliste suisse,1748,1769,257,high,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),XML (needs API),,No,
89,Nouvelliste vaudois,Nouvelliste vaudois et journal national suisse,1856,1891,11099,high,Category 1– public domain,Batch 1 – public domain,Batch 2 (26/02/24),,66,No,oui
88,Nouvelliste vaudois,Nouvelliste vaudois: journal libéral démocratique,1891,1914,6983,high,Category 1.5 - Orphan,Batch 1.5,To add later,,65,Nouvelliste vaudois: journal libéral démocratique,
112,"Presse de la Broye, du Jorat et du Gros-de-Vaud",Ouest Informations,1964,1980,296,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
82,Magazines illustrés vaudois,Pages Illustrées,1913,1916,110,medium,Category 1.5 - Orphan,Batch 1.5,Batch 3 (12/24),,67,Pages Illustrées,
83,Magazines illustrés vaudois,Pour la famille,1925,1931,296,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,68,No,
84,Magazines illustrés vaudois,Pour tous,1945,1966,1123,medium,Category 3 - no agreement,Batch 3 – restricted,To add later,,69,Pour tous,
201,Presse du Nord vaudois,Presse Hebdo/24 Hebdo Nord VD,2005,2008,163,medium,Category 3 - no agreement,Batch 3 – restricted,To add later,,1,No,
185,Presse de l'Est vaudois,Presse hebdo/24 Hebdo Riviera Chablais,2005,2008,159,high,Category 3 - no agreement,Batch 3 – restricted,To add later,,,No,
71,Le Matin - Tribune de Lausanne,Presse Lausannoise,1922,1922,28,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,70,No,oui
144,Presse de la Côte vaudoise,Prilly Nouveau,1953,1958,103,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
62,Journaux satiriques vaudois,Propos vaudois,1916,1916,42,medium,Category 1.5 - Orphan,Batch 1.5,Batch 3 (12/24),,71,Propos vaudois,
85,Magazines illustrés vaudois,Radio TV / TV8,1923,2010,4643,high,Category 3 - no agreement,Batch 3 – restricted,To add later,,,No,
231,Presse religieuse,Ralliements et Messagers,1909,2000,6840,high,Category 2 - existing agreement,Batch 3 – restricted,To add later,,,No,
13,Archives BCU Lausanne,Rapport annuel,1881,2022,142,no interest,no interest,no interest,Not to include,,,No,
145,Presse de la Côte vaudoise,Reflets de la Côte,1980,1982,26,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
232,Presse religieuse,Réformés,2016,2023,63,medium,Category 2 - existing agreement,Batch 3 – restricted,To add later,,,No,
15,Bulletins du Grand Conseil,Répertoires de Bulletins du Grand Conseil,1907,1921,4,high,Category 1 – public domain,Batch 3 – restricted,Batch 2 (26/02/24),,,No,
146,Presse de la Côte vaudoise,Revue morgienne,1902,1905,33,medium,Category 1.5 - Orphan,Batch 1.5,Batch 3 (12/24),,,No,
63,Journaux satiriques vaudois,Revue photo-rigolotipique,1902,1902,1,medium,Category 1.5 - Orphan,Batch 1.5,Batch 3 (12/24),,73,Revue photo-rigolotipique,
90,Presse agricole,Terre et nature/Sillon romand,1898,2020,5649,high,Category 2 - existing agreement,Batch 3 – restricted,To add later,,,No,
113,"Presse de la Broye, du Jorat et du Gros-de-Vaud",Terre vuilleraine,1953,2010,2579,high,Category 1.5 - Orphan,Batch 3 – restricted,Bath 4 (08/25),,,No,
233,Presse religieuse,Trait d'union / Bulletin Eglise libre,1964,1965,22,medium,Category 2 - existing agreement,Batch 3 – restricted,To add later,,,No,
16,Bulletins du Grand Conseil,Travaux des Constituantes,1861,2002,10,medium,Category 1 – public domain,Batch 2 – partly public,Batch 2 (26/02/24),,,No,
225,Travelling,Travelling,1963,1980,52,medium,Category 2 - existing agreement,Batch 3 – restricted,To add later,,,No,
72,Le Matin - Tribune de Lausanne,Tribune de Lausanne,1893,1968,20407,high,Category 3 - no agreement,Batch 2 – partly public,To add later,,54?,No,oui
73,Le Matin - Tribune de Lausanne,Tribune de Lausanne - Le Matin,1968,1984,5837,high,Category 3 - no agreement,Batch 3 – restricted,To add later,,54?,No,oui
74,Le Matin - Tribune de Lausanne,Tribune de Lausanne et Estafette,1896,1913,5541,medium,Category 3 - no agreement,Batch 3 - no agreement,To add later,,54?,No,oui
223,Revues UNIL,UNI Lausanne,1971,1993,80,medium,Category 1.5 - Orphan,Batch 3 – restricted,To add later,,,No,
224,Revues UNIL,Uniscope,1988,2020,652,medium,Category 1.5 - Orphan,Batch 3 – restricted,To add later,,,No,
186,Presse de l'Est vaudois,Vevey hebdo / Riviera magazine,1992,2011,674,high,Category 3 - no agreement,Batch 3 – restricted,To add later,,74 (et 76?),No,
64,Journaux satiriques vaudois,Vigousse,2009,2017,330,high,Category 1.5 - Orphan,Batch 3 – restricted,To add later,,,No,
202,Presse du Nord vaudois,Yverdon Revue / Flash Revue,1935,1994,759,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,11,No,
