,Collection name,Journal Name,Start Year (in Scriptorium),End Year (in Scriptorium),Number of issues,"@TeamHistory, please express your interest 👇",Data Category for Data Sharing Agreement,Data Acquisition Batch,Data Transfer Batch (what has been transfered with hard disk),Extension of mit file,Impresso 1,Formula (if title in B was already in previous sheet),Question/Notes
3,24 Heures / FAL,Feuille d'Avis de Lausanne,1779,1972,35772,high,Category 3 - no agreement,Batch 2 – partly public,To add later,,2?,No,
155,Presse de l'Est vaudois,Feuille d'avis de Montreux,1867,1935,14673,medium,Category 1.5 - Orphan,Batch 2 – partly public,Batch 3 (12/24),,,No,
119,Presse de la Côte vaudoise,Feuille d'avis de Morges 1,1854,1854,3,medium,Category 1– public domain,Batch 1 – public domain,Batch 2 (26/02/24),,,No,
120,Presse de la Côte vaudoise,Feuille d'avis de Morges 2 / L'Ami de Morges,1861,1972,7832,medium,Category 1.5 - Orphan,Batch 2 – partly public,Batch 3 (12/24),,,No,
94,"Presse de la Broye, du Jorat et du Gros-de-Vaud",Feuille d'avis de Moudon,1859,1859,2,medium,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),JSON (not API),,No,
121,Presse de la Côte vaudoise,Feuille d'avis de Nyon,1849,1867,86,medium,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),JSON (not API),,No,
95,"Presse de la Broye, du Jorat et du Gros-de-Vaud",Feuille d'avis de Payerne,1843,1845,2,medium,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),No OCR XML files,,No,
96,"Presse de la Broye, du Jorat et du Gros-de-Vaud","Feuille d'avis de Payerne, Moudon et Avenches",1852,1852,1,medium,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),No OCR XML files,,No,
189,Presse du Nord vaudois,Feuille d'avis de Sainte-Croix,1852,1988,11841,high,Category 1.5 - Orphan,Batch 2 – partly public,Batch 3 (12/24),,9,Feuille d'avis de Sainte-Croix,
192,Presse du Nord vaudois,Feuille d'avis de Vallorbe,1904,2019,9636,high,Category 2 - existing agreement,Batch 3 – restricted,Bath 4 (08/25),,,No,
156,Presse de l'Est vaudois,Feuille d'avis de Vevey 1,1784,1826,34,high,Category 1– public domain,Batch 1 – public domain,Batch 2 (26/02/24),,10,No,
157,Presse de l'Est vaudois,Feuille d'avis de Vevey 2,1846,1992,35001,high,Category 3 - no agreement,Batch 2 – partly public,To add later,,,No,
97,"Presse de la Broye, du Jorat et du Gros-de-Vaud",Feuille d'avis des cercles de Lucens et Granges,1907,1999,4635,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
4,24 Heures / FAL,Feuille périodique,1766,1772,12,no interest,no interest,no interest,Not to include,,2?,No,
193,Presse du Nord vaudois,Gazette des Villages,1867,1868,43,medium,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),JSON (not API),,No,
123,Presse de la Côte vaudoise,Gland - Bulletin d'information municipal,1990,1996,10,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
124,Presse de la Côte vaudoise,Gland Eco/Gland Cité,1986,2017,156,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
26,Journaux satiriques vaudois,Gribouille et Redzipet,1904,1911,320,medium,Category 1.5 - Orphan,Batch 1.5,Batch 3 (12/24),,12,Gribouille et Redzipet,
148,Presse de la Vallée de Joux,"HJ, le magazine franco-suisse",1994,2002,16,medium,Category 3 - no agreement,Batch 3 – restricted,To add later,,,No,
11,Annuaire vaudois,Indicateur de Lausanne,1880,1886,3,medium,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),XML (needs API),,No,
12,Annuaire vaudois,Indicateur vaudois,1895,1923,14,medium,Category 1.5 - Orphan,Batch 2 – partly public,Not to include,,,No,
125,Presse de la Côte vaudoise,Journal - Feuille d'avis de Coppet,1912,1923,1546,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
126,Presse de la Côte vaudoise,Journal d'Aubonne,1897,1966,6908,high,Category 2 - existing agreement,Batch 2 – partly public,Bath 4 (08/25),,,No,
194,Presse du Nord vaudois,Journal d'Yverdon 2,1842,1843,63,medium,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),JSON (not API),,No,
158,Presse de l'Est vaudois,Journal de Bex,1899,1993,11375,medium,Category 2 - existing agreement,Batch 3 – restricted,Bath 4 (08/25),,,No,
127,Presse de la Côte vaudoise,Journal de Bussigny,1962,1999,1827,medium,Category 2 - existing agreement,Batch 3 – restricted,Bath 4 (08/25),,,No,
159,Presse de l'Est vaudois,Journal de Chateau -d'Oex,1881,1989,9326,high,Category 1.5 - Orphan,Batch 2 – partly public,Batch 3 (12/24),,,No,
128,Presse de la Côte vaudoise,Journal de Cossonay,1899,2017,4954,medium,Category 2 - existing agreement,Batch 3 – restricted,Bath 4 (08/25),,,No,
132,Presse de la Côte vaudoise,Journal de l'Isle,1946,1947,48,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
133,Presse de la Côte vaudoise,Journal de la Sarraz,1942,1947,408,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
160,Presse de l'Est vaudois,Journal de Leysin,1902,1939,1909,medium,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
161,Presse de l'Est vaudois,Journal de Montreux,1936,1972,10929,high,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
129,Presse de la Côte vaudoise,Journal de Morges,1899,2017,12039,high,Category 2 - existing agreement,Batch 3 – restricted,Bath 4 (08/25),,,No,
98,"Presse de la Broye, du Jorat et du Gros-de-Vaud",Journal de Moudon,1962,2021,3279,medium,Category 2 - existing agreement,Batch 3 – restricted,Bath 4 (08/25),,,No,
130,Presse de la Côte vaudoise,Journal de Nyon,1892,1987,14305,high,Category 2 - existing agreement,Batch 2 – partly public,Bath 4 (08/25),,,No,
99,"Presse de la Broye, du Jorat et du Gros-de-Vaud",Journal de Payerne,1891,2002,11283,high,Category 1.5 - Orphan,Batch 2 – partly public,Bath 4 (08/25),,,No,
100,"Presse de la Broye, du Jorat et du Gros-de-Vaud",Journal de Prilly,1998,2000,24,medium,Category 2 - existing agreement,Batch 3 – restricted,Bath 4 (08/25),,,No,
162,Presse de l'Est vaudois,Journal de Pully,1930,1995,3225,high,Category 1.5 - Orphan,Batch 3 – restricted,Batch 3 (12/24),,,No,
131,Presse de la Côte vaudoise,Journal de Rolle,1900,1987,9490,high,Category 2 - existing agreement,Batch 3 – restricted,Bath 4 (08/25),,,No,
195,Presse du Nord vaudois,Journal de Sainte-Croix et environs,1988,2015,2503,high,Category 3 - no agreement,Batch 3 – restricted,To add later,,13,No,
196,Presse du Nord vaudois,Journal de Vallorbe,1899,1900,100,medium,Category 1.5 - Orphan,Batch 1.5,Bath 4 (08/25),,,No,
163,Presse de l'Est vaudois,Journal de Vevey,1865,1882,2663,high,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),JSON (not API),14,Journal de Vevey,
164,Presse de l'Est vaudois,Journal de Vevey et des étrangers,1891,1894,900,medium,Category 1– public domain,Batch 1 – public domain,Batch 1 (21/12/23),JSON (not API),52,No,
101,"Presse de la Broye, du Jorat et du Gros-de-Vaud",Journal des Brandons de Moudon,1976,2022,30,medium,,Batch 3 – restricted,Batch 3 (12/24),,,No,
102,"Presse de la Broye, du Jorat et du Gros-de-Vaud",Journal des Brandons de Payerne,1895,2020,112,medium,Category 1.5 - Orphan,Batch 2 – partly public,Bath 4 (08/25),,,No,
165,Presse de l'Est vaudois,Journal du Chablais,1993,2004,1131,medium,Category 2 - existing agreement,Batch 3 – restricted,Bath 4 (08/25),,,No,
103,"Presse de la Broye, du Jorat et du Gros-de-Vaud",Journal du district d'Avenches,1890,1899,1019,medium,Category 1.5 - Orphan,Batch 1.5,Batch 3 (12/24),,,No,
